"IdTelas","Nombre","Descripcion","Medida","Texto1","Texto2","Favorito","PrecioSugerido","Activa","IdTelasCategorias"
20,"Sekine","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,66.00,0,
21,"Sekine Terry","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,60.00,0,
22,"Trevia","Felpa 100% Poliester",1,"Felpa","Cardigan",1,44.34,0,
23,"Turin","Felpa 100% Poliester",1,"Felpa","Cardigan",1,53.00,0,
24,"Yarka Textil","Cardigan",1,"Tela 1","Cardigan",1,88.00,0,
25,"Conpartex","Jersey 100% Poliester",1,"Olimpus","Cardigan",0,62.92,0,
26,"Armeli","100 % Poliester",0,"Entretela",,0,10.37,0,
27,"Maja Textil","100 % Poliester",0,"Mesh",,0,23.00,0,
28,"Razo Parisina","100 % Poliester",0,"Razo",,0,34.90,0,
29,"Lasetex 100","Felpa 100% Poliester",0,"Felpa","Cardigan",1,22.80,0,
30,"Chifon Lasetex","100% Algod¢n",0,"Chifon","Cardigan",1,18.29,0,
31,"Textiles Evelyn","Jersey 100% Poliester",1,"Olimpus","Cardigan",0,62.00,0,
32,"Emporio Textil","Jersey 100% Poliester",1,"Olimpus","Cardigan",0,64.35,0,
33,"Lasetex 50","Felpa 50% Poliester 50% Algod¢n",0,"Felpa","Cardigan",1,30.00,0,
34,"Vision Textil Polar","Polar 100% Poliester",1,"Polar",,1,42.00,0,11
35,"Textiles Moy","100 % Poliester",1,"Tela 1","Cardigan",0,69.00,0,
36,"Alsatex Chifon Open","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,60.00,0,
37,"Alsat TerryOpen 50","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,60.00,0,
38,"Sekine Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,60.00,0,
39,"La Leona","Sportec 100% Poliester",1,"Sportec",,1,54.78,0,
40,"Met","100% Algod¢n",1,"Tela 1","Cardigan",1,38.00,0,
41,"Gizatex","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,63.00,0,
42,"Met Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,65.00,0,
43,"Abadi","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",0,50.00,0,
44,"Met Puma","Felpa 100% Poliester",1,"Felpa","Cardigan",1,52.00,0,
45,"Only","Sportec 100% Poliester",1,"Sportec",,1,58.00,0,
46,"Chifon Met","100% Algod¢n",1,"Chifon","Cardigan",1,62.00,0,
47,"Royal M. 50","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,21.00,0,
48,"Chifon Royal 50","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,50.00,0,
49,"Royal Terry 50","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,51.00,0,
50,"Royal Terry","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,57.00,0,
51,"Varios","Cardigan",1,"Tela","Cardigan",0,75.50,0,
52,"Kimex Micropique","Micropique 100% Poliester",1,"Micropique",,0,71.00,1,8
53,"Chifon Ykar","Chifon 50% Poliester 50% Algod¢n",1,"Chifon",,1,61.00,0,
54,"Avante Felpa Negro","Felpa 50% Poliester 50% Algod¢n 290 grs negro",1,"Felpa",,0,0.00,1,15
55,"Beyda Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa",,0,50.00,1,15
56,"Kimex Likra","Likra 94%Poliamida 6%Elastano",1,"Likra",,1,119.00,0,
57,"Mesh Atenas","Mesh 100% Poliester",1,"Mesh",,1,73.50,0,
58,"DepTextil","100 % Poliester",0,"Nylon",,1,15.00,0,
59,"Kimex Kinmax","100 % Poliester",1,"Kinmax",,0,83.00,1,9
60,"Quimibond",,0,"Entretela",,1,8.00,0,
61,"Claudia","Sportec 100% Poliester",1,"Sportec",,1,46.00,0,
62,"Textiles Moy Felpa","78% Algod¢n 22% Poli‚ser",1,"Felpa","Cardigan",1,56.00,0,
63,"Met Cardigan","Cardigan 100% Algod¢n",1,"Tela 1","Cardigan",1,45.80,0,
64,"Textiles Moy Sportec","100 % Poliester",1,"Sportec",,1,50.00,0,
65,"Bamboo Poliester","100 % Poliester",1,"Poliester",,1,68.00,0,
66,"Alsatex Thermal","100% Algod¢n",1,"Thermal","Cardigan",1,62.00,0,
67,"Chifon B&S","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,70.00,0,
68,"Chifon Tex.Moy","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,86.00,0,
69,"Met Likra","94%Algod¢n 6%Spandex",1,"Likra",,1,85.00,0,
70,"Chifon Sekine 100","100% Algod¢n",1,"Chifon","Cardigan",1,55.00,0,
71,"Sekine Likra","94%Algod¢n 6%Spandex",1,"Likra",,1,87.00,0,
72,"Bamboo","100 % Poliester",1,"Kinmax",,1,68.00,0,
73,"La leona pique","100 % Poliester",1,"Micropique",,1,82.00,0,
74,"La leona Kinmax","100 % Poliester",1,"Kinmax",,1,108.00,0,
75,"Chifon Jahar","100% Algod¢n",1,"Chifon",,1,35.00,0,
76,"Alsatex Chifon 100","100% Algod¢n",1,"Chifon","Cardigan",1,58.00,0,
77,"Gaytan Troya","100 % Poliester",1,"Troya",,0,72.00,1,8
78,"Marilyn Likra","92%Algod¢n 8% Elastano",1,"Likra",,1,0.01,0,
79,"La leona Microfibra","100 % Poliester",0,"Microfibra",,1,19.00,0,
80,"La leona forro","100 % Poliester",0,"Forro",,1,16.00,0,
81,"Danny Textil","Felpa 50% Poliester 50% Algod¢n",1,"Felpa",,1,88.00,0,
82,"Gizatex Terry","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cadigan",1,69.00,0,
83,"Gizat",,1,"Terry","Cardigan",1,60.00,0,
84,"La leona Mesh","100 % Poliester",0,"Mesh",,1,18.00,0,
85,"Textivision Panam","90%Poliester 5%Nylon 5%Spandex",1,"Panam",,0,125.00,1,13
86,"Textivisio Manchester","100 % Poliester",1,"Manchester",,1,126.50,1,9
87,"Textivision Onely","100 % Poliester",1,"Onely",,1,125.00,1,6
88,"Textiles Moy Pique","100 % Poliester",1,"Micropique",,1,74.00,0,
89,"Danalex","Cardigan 100% Algod¢n",1,"Tela 1","Cardigan",1,70.00,0,
90,"Esmida Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,17.00,0,
91,"Text.Teresa Forro","100 % Poliester",0,"Tafeta",,1,4.80,0,
92,"Tex.Teresa Microfibr","100 % Poliester",0,"Microfibra",,1,16.50,0,
93,"Textiles Asia","100 % Poliester",0,"Tafeta",,1,6.00,0,
94,"Sportoc (Viejo)","100 % Poliester",1,"Sportec",,1,69.00,0,
95,"Boulos Textil","100 % Poliester",1,"Tafeta",,1,4.60,0,
96,"Gaytan Universo","100 % Poliester",1,"Universo",,1,0.00,1,8
97,"Deportextil Pepito","100 % Poliester",1,"Pepito",,1,185.00,0,9
98,"Deportextil Microfib","100 % Poliester",0,"Microfibra",,1,46.00,0,
99,"Deportextil Mesh","100 % Poliester",0,"Mesh",,1,30.00,0,
100,"Alsatex Baby Rib","100% Algod¢n",1,"Baby Rib",,1,85.00,0,
101,"Miramar","Chifon 50% Poliester 50% Algod¢n",1,"Chifon",,1,62.00,0,
102,"Telco Textil","100 % Poliester",1,"Sportec",,1,48.00,1,
103,"Tex Teresa Sportec","100 % Poliester",1,"Sportec",,1,58.00,1,
104,"Gaytan Dubay","100 % Poliester",1,"Dubay",,1,83.48,1,9
105,"Alto Impacto","100 % Poliester",0,"Wimbledon",,1,40.00,0,
106,"Deportextil Mayki","100 % Poliester",1,"Mayki",,1,117.16,0,
107,"Gaytan Metropoli","100 % Poliester",1,"Metropoli",,1,92.17,1,6
108,"Alsatex Terry Algodo","100% Algod¢n",1,"Terry","Cardigan",1,65.00,0,
109,"Chifon Gaytan","100% Algod¢n",1,"Chifon","Cardigan",1,80.01,0,
110,"Gaytan Terry","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,75.65,0,
111,"Virgina Textil","100 % Poliester",0,"Inter",,0,18.00,0,
112,"Ditcsa likra Guzardi","94%Algod¢n 6%Spandex",1,"Lickra",,1,111.00,0,
113,"Ditecsa likra Kisa","94%Algod¢n 6%Spandex",1,"Lickra",,1,121.70,0,
114,"Chifon Ditecsa","94%Algod¢n 6%Spandex",1,"Chifon",,1,109.80,0,
115,"Artex Lickra","94%Algod¢n 6%Spandex",1,"Lickra",,1,106.00,0,
116,"Licra Trevi","92%Algod¢n 8% Elastano",1,"Licra",,1,105.00,0,
117,"Chifon Inter","Chifon 50% Poliester 50% Algod¢n",0,"Oro",,1,0.00,0,
118,"Del San Inter","100 % Poliester",1,"Inter 70",,1,76.00,0,
119,"Del San Tricot","100 % Poliester",0,"Tricot Red",,1,20.00,0,
120,"Borcafisa Polar","100 % Poliester",1,"Polar Fleece",,1,51.00,0,
121,"Gaytan Polar","100 % Poliester",1,"Polar Fleece",,1,56.03,0,
122,"Vaneto Polirayon","65% Poliester 35%Viscosa",0,"Polirayon Flame",,1,26.00,0,
123,"Gaytan Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa",,1,104.31,0,15
124,"Zagis Chifon","Chifon 50% Poliester 50% Algod¢n",1,"Chifon",,1,98.00,0,
125,"Zagis Terry","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,86.00,0,
126,"Tex.Teresa Polyrayon","80%Poli‚ster 18%Viscosa 2%Elastano",0,"Polyrayon",,1,23.00,0,
127,"Zagis Terry Likra","95%Algod¢n 5%Elastano",1,"Terry",,1,122.00,1,2
128,"Deportext Rhin Micro","100 % Poliester",0,"Rhin Micro",,1,26.29,1,6
129,"Iris Forro","100 % Poliester",1,"Forro",,0,11.00,0,
130,"Silver","100 % Poliester",0,"Silver",,0,11.00,0,
131,"Sutexmex Gabardina","97%Algod¢n 3% Elastano",0,"Gabardina",,1,40.00,0,
132,"Verandas Itty Way","92%Algod¢n 8% Elastano",0,"Itty Way",,1,28.00,0,
133,"Tex Teresa Felpa","100 % Poliester",1,"Felpa",,1,59.00,1,7
134,"Denimarket Polar","100 % Poliester",1,"Polar",,1,53.70,0,
135,"Licra Cattan","47% Algod¢n 47%poleister 6% Ealstano",1,"Licra",,1,126.00,0,
136,"Text Teresa Polar","100 % Poliester",1,"Polar",,0,58.00,1,11
137,"JD Polar","100 % Poliester",1,"Polar",,0,50.00,1,11
138,"Only Polar","100 % Poliester",1,"Polar",,0,55.00,1,11
139,"Alsatex Alg/Licra","96% Algod¢n 4% Elastano",1,"Licra",,0,132.00,1,3
140,"Alsatex Terry Licra","French terry 96% Algod¢n 4% Elastano",1,"Terry",,0,0.00,0,2
141,"Windsor Alg/Lic","95%Algod¢n 5%Elastano",1,"Licra",,0,0.00,1,3
142,"Ditecsa Alg/Lic Kenzi","97%Algod¢n 3% Elastano",1,"Licra",,0,125.00,1,3
143,"Vaneto Alg/Lic","92%Algod¢n 8% Elastano",1,"Licra",,0,0.00,1,3
144,"Textivision Alg/Lic Alabama","97%Algod¢n 3% Elastano",1,"Licra",,0,0.00,1,3
145,"Mundo de las telas Alg/Lic","96% Algod¢n 6% Elastano",1,"Licra",,0,115.00,1,3
146,"Telco Alg/Licra Karpatos","95%Algod¢n 5%Elastano",1,"Alg. Licra Karpatos",,1,0.00,1,3
147,"Becitex Alg/Lic","95%Algod¢n 5%Elastano",1,"Licra",,1,0.00,1,3
148,"CM Alg/Licra Beta","92%Algod¢n 8% Elastano",1,"Licra Beta",,0,0.00,0,3
149,"Kimex Alg/Lic 3602","92%Algod¢n 8% Elastano",1,"Licra",,0,0.00,1,3
150,"Premio Textil Alg/Lic","97%Algod¢n 3% Elastano",1,"Licra",,0,0.00,1,3
151,"Catan Alg/Lic","96% Algod¢n 6% Elastano",1,"Licra",,0,0.00,1,3
152,"Becktel Chifon 100 Alg","100 % Algod¢n",1,"Chifon","Cardigan",0,175.00,1,5
153,"Butter Milk","100 % Poliester",1,"Tela",,0,0.00,1,9
154,"Colombo Gama","100 % Poliester",1,"Tela",,0,98.00,1,9
155,"Interlook Algod¢n","100% Algod¢n",1,"Interlook",,0,50.00,1,5
156,"Qualy Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa",,0,50.00,1,15
157,"Kimex Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa",,0,0.00,1,15
158,"CM Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",0,0.00,0,15
160,"Miro Terry Licra","French terry 96% Algod¢n 4% Elastano",1,"Terry",,0,80.00,0,2
161,"Simji Terry Licra","French terry 95% Algod¢n 5% Elastano",1,"Terry",,0,0.00,1,2
162,"Vaneto Terry Licra","French terry 95% Algod¢n 5% Elastano",1,"Terry",,0,0.00,1,2
163,"Kimex Terry","French terry 96% Algod¢n 4% Elastano",1,"Terry",,0,0.00,1,2
164,"Tejidos Mas Jackard","Jackard 100% Poliester",1,"Jackard",,0,0.00,1,10
165,"Mundo de las Telas Lurex","Lurex 100 % Poliester",1,"Lurex",,0,0.00,1,10
166,"Textivision Rayon","Rayon 95% Spandex 5%",1,"Rayon",,0,0.00,1,10
167,"Gama Rayon","95% Rayon 5% Spandex",1,"Rayon",,0,0.00,1,10
169,"Vaneto Alg/Pol/Lic","80%Poli‚ster 15%Algodon 5%Elastano",1,"Licra",,0,0.00,0,4
170,"DenimMarket Algo/Pol/Lic","80%Poli‚ster 15% Algodon 5%Elastano",1,"Licra",,0,85.00,1,4
171,"Brigitex Algo/Pol/Lic","47%Poli‚ster 47%% Algodon 6%Elastano",1,"Licra",,1,0.00,0,4
173,"Qualy Polar","Polar 100% Poliester",1,"Polar",,0,50.00,1,11
174,"Allan Textil Polar","Polar 100% Poliester",1,"Polar",,0,55.00,1,11
175,"Kimex Rayas","100% Poliester",0,"Rayas",,0,28.00,1,10
176,"CM Rayas","100% Poliester",1,"Rayas",,0,103.00,1,10
177,"Kimex Rayon","Rayon 90% Spandex 10%",1,"Rayon",,0,102.00,1,10
178,"Chedrahi RIB Desaujado","Rib Desahujdo 1x1 100% Algod¢n",1,"Rib",,0,85.00,0,12
179,"Chedraui RIB 1x1","Rib 100% Algod¢n 1x1",1,"Rib",,0,68.00,1,12
180,"Advantage Red","100 % Poliester",0,"Red",,0,12.00,1,10
181,"Kimex Skin","100% Poliester",1,"Skin",,0,95.00,1,10
182,"Assatex Supplex","Supplex 90% Nylon, 10% Elastano",1,"Supplex",,0,190.00,1,10
183,"Quely Mezclilla","90% Algod¢n 10% elastano",1,"Mezclilla",,0,85.00,1,10
184,"Kimex Mesh","90%Poliester 5%Nylon 5%Spandex",1,"Mesh",,0,115.00,1,13
185,"Mesh Beyda","Mesh 100% Poliester",0,"Mesh",,0,25.00,1,13
186,"American Textil Mesh","Mesh 100% Poliester",1,"Mesh",,0,80.00,1,13
187,"Qualy Mesh","Mesh 100% Poliester",1,"Mesh",,0,110.00,1,13
188,"Premio Textil Mesh","90%Poliester 5%Nylon 5%Spandex",1,"Mesh",,0,118.00,1,13
189,"Kimex Triatlon","Mesh 100% Poliester",1,"Mesh",,0,98.00,1,13
190,"Textivision Jenifer","Nylon 90% Elastano 10%",1,"Nylon",,0,125.00,1,14
191,"Mundo de las telas Nylon","Nylon 90% Elastano 10%",1,"Nylon",,0,128.00,1,14
192,"Kimex Nylon Kintouch","Nylon 90% Elastano 10%",1,"Nylon",,0,150.00,1,14
193,"Pat Primo Nylon Pacific","Nylon 90% Elastano 10%",1,"Nylon",,0,210.00,1,14
194,"Gama Nylon","Nylon 90% Elastano 10%",1,"Nylon",,0,115.00,0,14
196,"Ditecsa Rayon","rayon 90% Spandex 10%",1,"Rayon",,0,0.00,1,10
197,"Kimex Kumbia",,1,"Kimex",,0,0.00,0,0
198,"Brigitex alg/licra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Alg/poliester/licra",,1,0.00,0,4
199,"Joy Textil  alg/pol/licra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Alg/pol/licra",,0,0.00,1,4
200,"French terry Cattan","80%Poli‚ster 15% Algodon 5%Elastano",1,"Tela 1",,0,0.00,1,2
201,"Brigitex Poliester/algo/licra","47% Algod¢n 47%poleister 6% Ealstano",1,"Licra",,0,0.00,1,4
202,"Catta Poliester/algod¢n/licra Cattan","rrrrr",1,"Tela 1",,0,0.00,1,4
204,"Galatea Poliester/Algod•n/Lycra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Tela1",,1,0.00,1,4
205,"Brigitex Sportoc","47%Poli‚ster 47%% Algodon 6%Elastano",1,"Tela 1",,0,0.00,1,6
207,"Poliester/licra Centro","47%Poli‚ster 47%% Algodon 6%Elastano",1,"Tela 1",,1,0.00,1,9
208,"Vivatex Poliester/elastano","100% Poliester",1,"Poliester/elastano V",,1,0.00,1,8
209,"Cardigan Poliester","Cardigan",1,"Cardigan",,0,0.00,1,10
210,"Brigitex Poly/rayon","Polyrayon espandex",1,"Polirayon",,1,0.00,1,4
211,"Polirayon Textiles Teresa","Polyrayon espandex",1,"Tela 1",,0,0.00,1,8
212,"Mesh fantastic",,1,"Tela 1",,0,0.00,1,0
213,"Mesh Fantastic","100 % Poliester",1,"Tela 1",,0,0.00,1,9
214,"Emperador Tex. Pol/alg./licra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Tela 1",,1,0.00,1,4
215,"Nulon/Lycra",,1,"Tela 1",,0,0.00,1,0
217,"Nylon lycra",,1,"Tela 1",,0,0.00,1,0
218,"Nylon Lycra","90% Nylon 10 Elastano",1,"Tela 1",,0,0.00,1,14
219,"Alg. Licra Telco textil","95%Algod¢n 5%Elastano",1,"Alg. Licra",,1,118.00,1,3
220,"Gaytan Dubay","100 % Poliester",1,"Dubay",,1,90.51,1,9
222,"Deportextil Mercurio","100 % Poliester",1,"Deportextil Mercurio",,0,0.00,0,9
224,"Deportextil Australia","100 % Poliester",1,"Deportextil Australi",,0,0.00,1,10
225,"Deportextil Mercurio Mirco",,1,"Tela 1",,0,0.00,1,0
226,"Deportextil Costa Rica","100% Poliester",1,"Deport. Costa Rica",,0,0.00,1,8
227,"Pat primo Jabon","87% Poliester 13% Elastano",1,"Pat Primo Jabon",,1,0.00,0,13
228,"Gaytan Metropoly","100% Poliester",1,"Gaytan Metropoly",,0,0.00,0,6
229,"Textiles Teresa Magic","100% Poliester",1,"Magic",,0,0.00,1,13
231,"Virginia Textil Tenaz (Magic)","100% Poliester",1,"Tela 1",,0,0.00,1,9
232,"Virginia Textil  Tenaz (magic)",,1,"Tela 1",,0,0.00,1,9
235,"Trevia Alg. Licra Privilegio","97%Algod¢n 3% Elastano",1,"Alg. LicraPrivilegio",,1,0.00,1,3
236,"Yafa Alg. Licra","97%Algod¢n 3% Elastano",1,"Alg",,0,0.00,1,3
237,"Deportextil Energica","87% Poliester 13% Elastano",1,"Energica",,0,0.00,1,6
238,"Trevia alg. Licra moscu","97%Algod¢n 3% Elastano",1,"Alg",,0,0.00,1,3
239,"Trevia Felpa Arizona","Felpa 50% Poliester 50% Algod¢n",1,"Felpa 50/50",,0,0.00,1,15
240,"Ron textil  Deskubra","90% Nylon 10 Elastano",1,"Nylon/Licra",,0,0.00,1,14
241,"Distribuidora Textil Deskubra","90% Nylon 10 Elastano",1,"Nylon/licra",,0,0.00,1,14
242,"Pat Primo  Energica","87% Poliester 13% Elastano",1,"Energica",,0,0.00,1,6
244,"Aspetel Nylon/licra","90% Nylon 10 Elastano",1,"Nylon/Licra",,0,0.00,1,14
245,"Textivision Susan",,1,"Tela 1",,0,0.00,1,0
246,"Textivision Susan","87% Poliester 13% Elastano",1,"Susan",,0,0.00,1,6
247,"Juanico Poliester/algod¢n/licra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Tela 1",,0,0.00,1,4
248,"CM French Terry","French Terry 50% Poliester 50% Algod¢n",1,"French terry","Cardigan",0,0.00,0,1
249,"CM Cardigan","Cardigan",1,"Cardigan 50/50",,0,0.00,0,10
250,"Juanico Alg. Licra ligera","92%Algod¢n 8% Elastano",1,"Alg. Licra",,0,0.00,1,3
251,"Juanico Cardigan","Cardigan",1,"Tela 1",,0,0.00,1,6
252,"Textivision Kendra estampada","80%Poli‚ster 18%Viscosa 2%Elastano",0,"Kendra Viscosa/Elast",,0,0.00,1,10
253,"Arttex Nylon Diego Rivera","90% Nylon 10 Elastano",1,"Nylon/licra",,0,0.00,1,14
254,"Arttex Nylon Botero","90% Nylon 10 Elastano",1,"Nylon licra",,0,0.00,1,14
255,"C.M Frisia Felpa  290 grms","Felpa 50% Poliester 50% Algod¢n",1,"Felpa 50/50",,0,0.00,0,15
256,"Sekine Chifon licra","80%Poli‚ster 15% Algodon 5%Elastano",1,"Sekine Alg/Po.licra",,0,0.00,1,4
257,"Aviance Poliester/Elastano","87% Poliester 13% Elastano",0,"Aviance Poliester",,0,0.00,1,10
258,"Eliza Estampados","87% Poliester 13% Elastano",1,"Eliza Estampado",,1,0.00,1,10
259,"Juanico Alg. Licra","78% Algod¢n 22% Poli‚ser",1,"Algod¢n licra",,0,0.00,1,3
260,"Textivison Beira estampado","95%Algod¢n 5%Elastano",0,"Text.Beira Estamp",,0,0.00,1,3
261,"C.M Florida","92%Algod¢n 8% Elastano",1,"C.M Florida",,0,0.00,1,3
262,"Yuri Nylon/Licra","90% Nylon 10 Elastano",1,"Yuri Nylon/Licra",,0,0.00,1,14
263,"Trevia French Terranova","French Terry 50% Poliester 50% Algod¢n",1,"French Terranova","Cardigan terranova",1,0.00,1,1
265,"C.M Felpa Napoles","Felpa 50% Poliester 50% Algod¢n",1,"Felpa Napoles","Cardigan",0,0.00,1,15
267,"Paris Alg. Licra","92%Algod¢n 8% Elastano",1,"Paris Alg. Licra",,0,0.00,1,3
268,"Juanico Felpa","Felpa 50% Poliester 50% Algod¢n",1,"Juanico Felpa 50/50",,0,0.00,1,15
269,"Juanico French Terry 50/50","French Terry 50% Poliester 50% Algod¢n",1,"Juanico French terry",,0,0.00,0,1
270,"C.M Felpa  Frisa 260","Felpa 50% Poliester 50% Algod¢n",1,"C.m Felpa Frisa","Cardigan",0,0.00,1,15
271,"C.M Cardigan",,1,"Tela 1",,0,0.00,0,0
272,"Ramakat Cardigan","Cardigan",1,"Cardigan",,0,0.00,1,10
273,"Ramakat Chifon","Chifon 50% Poliester 50% Algod¢n",1,"Chifon",,0,0.00,1,5
274,"Maritza Vinil","100 % Poliester",0,"Tela 1",,0,0.00,1,10
275,"Altamirano Gabardina","47% Algod¢n 47%poleister 6% Ealstano",0,"Gabardina",,0,0.00,1,10
276,"Teresa Azucena","100 % Poliester",1,"Azucena",,0,0.00,1,9
277,"Deportextil Mayki Plus","100% Poliester",1,"Mayki Plus",,0,0.00,1,9
278,"Teresa Inter 70","100% Poliester",0,"Inter70",,0,0.00,1,9
279,"Texere Sportec","100% Poliester",1,"Sportec Poliester",,0,0.00,1,6
280,"Texere Sportock","100% Poliester",1,"Sportock Oliester",,0,0.00,1,6
281,"Yuri",,1,"Tela 1",,0,0.00,1,0
283,"Tibet Textil Azucena","100 % Poliester",1,"Tibet Textil Azucena",,0,0.00,1,9
284,"Virginia Textil Inter 70","100 % Poliester",0,"Inter 70",,0,0.00,1,9
285,"Pentex Sportock","100 % Poliester",1,"Sportock",,0,0.00,1,6
286,"Yuri nylon estampado","90% Nylon 10 Elastano",0,"Nylon estampado",,0,0.00,0,14
287,"Omi Nylon/Licra estampada","90% Nylon 10 Elastano",1,"Omi Nylon estamp.",,0,0.00,1,14
288,"Textatil Estamp dos varios","90% Nylon 10 Elastano",1,"Textatil Estampado",,0,0.00,1,14
289,"Juanico Chifon",,1,"Chifon",,0,0.00,1,4
290,"Deportextil Jumanji","100 % Poliester",1,"Tela 1",,0,0.00,1,6
291,"Big Moda Bombay","100% Poliester",0,"Bombay",,0,0.00,1,8
292,"Trevia French Viena","French Terry 50% Poliester 50% Algod¢n",1,"Frecnh terry Viena","Cardigan Viena",1,0.00,1,1
293,"C.M Felpa Giovanni 200 grms","Felpa 50% Poliester 50% Algod¢n",1,"Felpa Giovanni","Cardigan Giovanni",0,0.00,0,2
294,"CM French Cambry","95%Algod¢n 5%Elastano",1,"French cambry","Cardigan",0,0.00,1,2
295,"27/08/2014",,1,"Tela 1",,0,0.00,1,0
296,"Trevia French terry Navy Plus","95%Algod¢n 5%Elastano",1,"French terry Navy",,1,0.00,1,2
297,"Alto Impacto Pepito","100 % Poliester",1,"Pepito",,0,0.00,1,9
298,"Textiles Zaky cardigan","Cardigan 100% Algod¢n",1,"Cardigan",,0,0.00,1,1
299,"Nakad French terry","French Terry 50% Poliester 50% Algod¢n",1,"French terry","Cardigan",0,0.00,1,1
300,"Yardas y metros Devore",,1,"Devore",,0,0.00,1,8
301,"Textiles Dany, S.A de C.V.","Chifon 50% Poliester 50% Algod¢n",1,"French  terry","Cardigan",0,0.00,1,1
302,"I Wey Textil, S.A. De C.V.","90% Nylon 10 Elastano",1,"I Wey Nylon",,0,0.00,1,14
303,"Cm french giovanni","100 % Algod¢n",1,"french",,0,0.00,1,1
304,"Textivi",,1,"Tela 1",,0,0.00,1,0
305,"Textivision ( Panam )",,1,"Tela 1",,0,0.00,1,13
306,"Yardas Y metros Jersey abierto","Chifon 50% Poliester 50% Algod¢n",1,"Jersey abierto",,0,0.00,1,4
307,"Textiles del Norte Gabardina","100 % Algod¢n",0,"Gabardina",,0,0.00,1,10
308,"Sanchez Ebasa Poquetin","100 % Algod¢n",0,"Poquetin",,0,0.00,1,10
