"IdNotasDet","IdNotas","IdOrdenes","Descripcion"
42,15,37,"TRAZOS 71770 F  DOS TRAZOS.
BODEGA"
43,15,38,"TRAZO 31770 C  DOS TRAZOS.
BODEGA"
44,16,35,"TRAZO 81770F1  UNA COPIA."
45,17,58,"hoja de orden de produccion y ficha tecnica"
46,17,59,"hoja de orden de produccion y ficha tecnica"
47,17,60,"hoja de orden de produccion y ficha tecnica"
48,17,61,"hoja de orden de produccion y ficha tecnica"
49,18,59,"TRAZO 71010F  2 COPIAS 
ELASTICO DE 1 1/2"" CON JARETA 900 MTS. (18 ROLLOS)
ETIQ. CARTON CHEROKEE"
50,18,61,"TRAZO 71030 F  2 COPIAS,  71030CA Y CA1  4 COPIAS DE CADA UNO.
ELASTICO DE 1"" REF. LISO  900 MTS. (18 ROLLOS)
ETIQ. CARTON CHEROKEE"
51,18,58,"TRAZO 61010 F Y CA  2 DE CADA UNO.
ETIQ. CARTON CHEROKEE"
52,18,60,"TRAZO 81030F  DOS COPIAS,  81030 CA Y CA1   4 COPIAS DE CADA UNO.
ETIQ. CARTON CHEROKEE"
53,19,60,"TRAZO 81030F1 Y CA2  DOS COPIAS DE CADA UNO
CIERRE VENUS S. NEGRO 189 PZA 65 CM TALLA CH YM, 159 PZA 70 CM TALLA G Y EX
CIERRE VENUS JASPE 189 PZA 65 M TALLA CH Y M,  190 PZA DE 70 CM TALLA G Y EX"
54,19,61,"TRAZO 71030 F1  DOS COPIAS
JARETA JASPE Y NEGRO 1000 MTS. DE CADA UNO ( 5 ROLLOS DE CADA UNO).
ETIQ. BORDADA CHEROKEE"
55,20,58,"TRAZO 61010F1 Y CA1  DOS COPIAS DE CADA UNO"
56,20,59,"TRAZO 71010F1  DOS COPIAS."
57,21,43,"ELASTICO DE 1 1/2"" CON JARETA 1095 MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.     BODEGA"
58,21,44,"ELASTICO DE 1 1/2"" CON JARETA  730 MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
59,21,45,"ELASTICO DE 2"" LISO 1095 MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
60,21,46,"ELASTICO DE 1 1/2"" CON JARETA 912 MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
61,21,50,"ELASTICO DE 1 1/2"" CON JARETA  730 MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
62,21,51,"ELASTICO DE 1 1/2"" CON JARETA  639 MTS. 
ETIQ.  MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
63,21,56,"ELASTICO DE 1 1/2"" CON JARETA  912 MTS. 
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
64,21,57,"ELASTICO DE 1 1/2"" CON JARETA  730  MTS.
ETIQ. MCA. X-TEND BORDADA, CARTON Y TALLA.
BODEGA"
65,21,63,"ELASTICO DE 1 1/2"" CON JARETA  894 MTS.
200 ETIQ. CARTON CHEROKEE COLGANTE (REPORTADA EN FALTANTES)
CHEROKEE"
66,21,66,"ELATICO DE  1 1/2"" CON JARETA  894 MTS.
CHEROKEE"
67,21,61,"ELASTICO DE 1 1/2""  LISO SIN JARETA  900 MTS.
PARA ESTE MODELO YA SE HABIA ENVIADO PERO DE  1"".   ESTE SE CAMBIO POR EL DE 
1 1/2.   FAVOR DE GUARDAR EL DE 1"" HASTA NUEVA ORDEN.  GRACIAS."
68,21,64,"CIERRE VENUS DE 60 CM. JASPE Y MARINO 216 PZAS. DE C/U PARA TALLAS CH Y M
CIERRE VENUS DE 65 CM. JASPE Y MARINO 217 PZAS. DE C/U PARA TALLAS G Y EX"
69,21,65,"CIERRE VENUS DE 65 CM. BLANCO 479 PZAS.  PARA TALLAS CH Y M
CIERRE VENUS DE 70 CM. BLANCO 479 PZAS.  PARA TALLAS G Y EX."
70,22,62,"SE ENVIAN ETIQUETAS DE CARTON MCA. CHEROKEE  5200 PZAS.
PARA ORDENES 144,145,146,156 Y 157."
71,23,58,"CIERRES VENUS DE 20 CM. FIJO   
NARANJA Y MARINO  377 PZAS. DE CADA COLOR."
72,23,62,"CIERRES VENUS DE 20 CM FIJO
JASPE Y MARINO  430 PZAS. POR COLOR."
73,23,60,"CIERRE VENUS NEGRO DE 70 CM   (COMPLEMENTO)  31 PZAS.
PARA TALLAS G Y EX"
74,23,43,"TRAZO 71792"
75,23,40,"TRAZO 61790  F2, C1, C2  Y CA    DOS DE CADA UNO."
76,23,44,"TRAZO 31793 F1    DOS COPIAS."
77,24,61,"ELASTICO DE 2""  (18 ROLLOS) 900 MTS.  PARA REPOSICION.
(CAMBIO POR ELASTICO DE 1 1/2"")"
78,25,48,"TRAZO 51896 F   DOS TRAZOS."
79,25,54,"TRAZO 51995 F   4 TRAZOS
TRAZO 51995 CA 2 TRAZOS."
80,26,0,"CHAMARRA DE RETROFOX"
81,27,0,"Chamarra de RETROFOX en color hueso con rey."
82,27,0,"Sudadera de Atletica color marino con blanco"
83,27,0,"Pantalon de Atletica color marino con blanco"
84,28,42,"TRAZO  51791F   DOS COPIAS."
85,30,42,"Playera, cuello redondo y manga corta de Bodega"
86,,42,"Playera, cuello redondo, manga corta de Bodega"
87,31,42,"Playera manga corta y cuello  redondo de Bodega"
88,32,47,"TRAZO 51891 F    DOS TRAZOS."
89,32,49,"TRAZO  51892F  2 TRAZOS."
90,32,51,"TRAZO 31898F   2 TRAZOS."
91,32,46,"TRAZO 71897F   2 TRAZOS."
92,32,53,"TRAZO 61895F,  C  Y  CA      2 TRAZOS DE CADA UNO."
93,32,62,"SE ENVIAN 4850 ETIQUETAS BORDADAS DE MCA. CHEROKEE
PARA ORDS. 144,145,146,156 Y 157."
94,32,63,"ETI. BORD. CHEROKEE"
95,32,64,"ETIQ. BORD. CHEROKEE"
96,32,65,"ETIQ. BORD. CHEROKEE"
97,32,66,"ETIQ. BORD. CHEROKEE"
98,34,45,"SE ENVIA ETIQUETA MONARCH PARA ORDS. 147,148,149,150,151,152,153,154 Y 155."
99,34,54,"SE ENVIA ETIQUETA MONARCH PARA ORD. 158,159,160 Y 161."
100,35,79,"chamarra color acero con capucha"
101,35,80,"pantalon con elastico y jareta integrada en color rojo"
102,36,45,"TRAZO 71893F   Y  CA     DOS DE CADA UNO."
103,37,50,"TRAZO 31894  DOS  COPIAS"
104,37,52,"TRAZO 61890 F  Y  CA   DOS DE CADA UNO."
105,37,67,"CIERRE VENUS SEP.     40 CM.(T-CH)              45 CM(T-M)           50 CM (T-G Y EX).
BCO. Y HUESO              67 PZ. DE C/U         133 PZ. DE C/U         200  PZ. DE C/U
MONARCH, ETIQ. CARTON"
106,37,68,"MONARCH,ETIQ. CARTON. ETIQ. BORDADA 
ELASTICO DE 1"" 10 ROLLOS (500 MTS.)  TOMAR DE  EL ELASTICO QUE SE MANDO PARA LA ORDEN 139 Y NO SE UTILIZO.
CHEROKEE"
107,37,73,"MONARCH, ETIQ. BORDADA Y ETIQ. CARTON.
CHEROKEE"
108,37,74,"ELASTICO DE 1 1/2"" CON JARETA INTEGRADA  754 MTS.,  
MONARCH, ETIQ. BORDADA Y ETQ. CARTON."
109,37,79,"CIERRE VENUS SEP.     45CM(T-6)           50 CM(T-8 Y 10)         55 CM(T-12,14 Y 16)
MNO. Y HUESO         62 PZ. DE C/U         243 PZ DE C/U          305 PZ. DE C/U
MONARCH, BORDADA Y CARTON
CHER"
110,37,80,"ELATICO DE 1 1/2"" CON JARETA INTEGRADA 754 MTS. 
MONARCH, ETIQ. BORDADA Y ETIQ. CARTON."
111,37,81,"MONARCH, ETIQ. BORDADA Y ETIQ. CARTON."
112,38,45,"JARETA ALG. PARA METER A LA COMBINACION (COLOR ARENA)
9 ROLLOS (1800 MTS.)"
113,39,55,"TRAZO ORD. 159  Y 161  MOD. 61994FC  Y CA    DOS DE CADA UNO."
114,40,56,"TRAZO 71996 F  Y  C    DOS DE CADA UNO."
115,40,57,"TRAZO 31993 F   DOS T."
116,41,55,"TRAZO  61994FC  Y  CA    UNA COPIA DE CADA UNO."
117,42,73,"SUDADERA MARINO  CON CAPUCHA"
118,42,74,"PANTALON ROJO CON FRANJA EN EL COSTADO MARINO"
119,42,67,"CHAMARRA NEGRA CON VIVO EN EL COSTADO EN BLANCO"
120,42,68,"PANTALON NEGRO CON VIVO EN EL COSTADO EN BLANCO"
121,43,67,"ETIQUETA BORDADA CHEROKEE 500 PZAS. REPORTADA EN FALTANTES.
PARA ORDS. 162 A 168
ETIQUETA DE CARTON CHEROKEE 4500 PZAS.  REPORTADA EN FALTANTES
PARA ORDS.  162 A 168."
122,43,67,"PLASTIFLECHA  8000 PZAS.   PARA ORDS.  162  A 168.
CHEROKEE.
REPORTADA EN FALTANTES."
123,44,47,"TRAZO 51891F DOS TRAZOS"
124,45,45,"JARETA ALGOD‡N PARA METER A COMBINACION[COLOR ARENA]
4 ROLLOS ˘[800 MTS.] COMPLEMENTO"
125,47,67,"ETIQUETAS DE TALLA CH, M, G Y EX
CHEROKEE"
126,47,68,"ETIQUETAS DETALLA CH, M, G Y EX
CHEROKEE"
127,47,73,"ETIQUETAS DE TALLA 8, 10, 12, 14 Y 16"
128,47,49,"MONARCH TALLA G (40)  700 PZAS.
REPORTADA EN FALTANTES."
129,48,77,"SUDADERA CON CAPUCHA EN JASPE DE CHEROKEE  NI•A"
130,48,78,"PANTALON CON ELASTICO EN JASPE CON ROSA DE CHEROKEE  NI•A"
131,49,62,"TRAZO 61040F, F1, CA  Y CA1     DOS DE CADA UNO.
61040CA    2 DE CADA UNO."
132,49,64,"TRAZO 81050 F, F1, C, CA Y CA1     DOS DE CADA UNO."
133,50,67,"TRAZO 82020F, CA, CA1     DOS DE CADA UNO."
134,50,79,"TRAZO 84020F1, F,  CA    DOS DE CADA UNO."
135,50,73,"ETIQUETAS DE TALLA 6 ( 1000 PZAS.)
PARA CUBRIR DE LA ORDS. 164 A 168.
CHEROKEE."
136,51,67,"CIERRE VENUS SEP. NEGRO DE 40 CM. 67 PZ. TALLA CH
DE 45 CM-133 PZ. TALLA M
DE 50 CM-200 PZ. TALLA G Y EX  ( CAMBIO POR EL COLOR HUESO.)
POR FAVOR REGRESARLOS."
137,52,64,"TRAZO 81050 BOL Y BOL1     DOS DE CADA UNO."
138,53,63,"TRAZO 71040F3, F2, F1 Y F   DOS DE CADA UNO."
139,53,68,"TRAZO 72020F  DOS COPIAS."
140,53,80,"TRAZO 74020 F, F1  Y F2   UNO DE CADA UNO."
141,54,73,"TRAZO  62050 F, F1, F2, CA Y CA1     UNO DE CADA UNO."
142,54,74,"TRAZO 72050C1        UNA COPIA"
143,54,79,"TRAZO 84020 F, F1, CA Y CA1            UNO DE CADA UNO."
144,54,81,"TRAZO 64050 F, F1, CA Y CA1  UNO DE CADA UNO."
145,55,69,"CIERRE VENUS SEP. JASPE Y MARINO
40 CM TALLA CH- 67 PZA DE CADA COLOR
45 CM TALLA M -133 PZA DE CADA COLOR
50 CM TALLA G Y EX  199 PZA DE CADA COLOR.
ETIQUETA MONARCH, DE TALLA Y BORDADA CHEROKEE."
146,55,70,"ELASTICO DE 2""  /  11 ROLLOS (550 MTS.)
ETIQUETA MONARCH, DE TALLA Y BORDADA CHEROKEE.
JARETA ALGODON JASPE Y MARINO  600 MTS. POR COLOR (3 ROLLOS DE C/U)"
147,55,75,"CIERRE VENUS SEP. CIELO Y ROSA 
40 CM TALLA 6 Y 8 -  183 PZAS. POR  COLOR
45 CM TALLA 10 -123 PZAS. POR  COLOR
50 CM TALLA 12,14 Y 16 -304 PZAS. POR COLOR
ETIQ. MONARCH, DE TALLA Y BORDADA CHEROKE"
148,55,76,"ETIQUETA MONARCH, DE TALLA. 
*ELASTICO  LISO DE 1 1/2"" ( 15 ROLLOS) 
* TOMAR EL QUE SE ENVIO PARA LA ORD. 139 ENVIADO EL 21 DE JUNIO CON NOTA # 20"
149,55,82,"ETIQUETA MONARCH Y ETIQUETA DE TALLA."
150,55,83,"ELASTICO DE 1 1/2"" CON JARETA  - 15 ROLLOS ( 750 MTS.)
ETIQUETA MONARCH Y ETIQUETA DE TALLA."
151,55,84,"ETIQUETAS MONARCH Y ETIQUETAS DE TALLA."
152,55,90,"ETIQ. BORDADA DE MCA RETROFOX TIPO PALOMA  380 PZAS., ETIQS. DE TALLA CH Y EX 70 DE C/U M Y G 130 DE C/U
ETIQ. DE CARTON RETROFOX 360 PZAS. 
PIOLA 1 ROLLO CON 500 MTS.
ETIQ. MONARCH"
153,55,92,"ETIQ. BORDADA DE MCA. RETROFOX TIPO PALOMA 380 PZAS., ETIQ. DE TALLA CH Y EX 70 
PZAS. DE C/U, M Y G  130 PZAS. DE C/U.
ETIQ. DE CARTON RETROFOX 360 PZAS.
ETIQ. MONARCH."
154,55,92,"JARETA ALGOD‡N  MARINO Y HUESO ( A UTILIZAR 223 MTS POR COLOR) SE ENVIAN 400 MTS. (2 ROLLOS CON 200 MTS CADA UNO.)"
155,55,93,"ELASTICO DE 2"" 300 MTS. (6 ROLLOS)
ETIQ. RECTANGULAR DE MCA. RETROFOX  PARA PANTALON  380 PZAS.
ETIQ. DE TALLA CH Y EX 70 PZAS. DE C/U,  M Y G   130 PZAS. DE C/U
ETIQ. DE CARTON RETROFOX 280 PZAS."
156,55,93,"ETIQUETA MONARCH."
157,56,91,"TRAZO 25813 F, EN, CA, C2 Y CI   DOS DE CADA UNO."
158,56,51,"TRAZO 31898 A    UNA COPIA"
159,56,53,"TRAZO 61895 A        UNA COPIA"
160,57,75,"CHAMARRA CON CAPUCHA EN ROSA DE CHEROKEE NI•A"
161,57,76,"PANTALON CON JARETA  SATINADA EN ROSA DE  CHEROKEE NI•A"
162,57,92,"CHAMARRA CON CAPUCHA Y MESH EN MARINO DE RETRO FOX CABALLERO"
163,57,90,"CHAMARRA CON CORTE EN COSTADO EN ROJO DE RETRO FOX CABALLERO"
164,57,93,"SE MANDA LA ORDEN Y HOJA DE ESPECIFICACION DEL PANTALON DE RETRO FOX MODELO 25713"
165,57,0,
166,58,92,"TRAZO 25818 F, C, C1, CA Y EN     DOS DE CADA UNO."
167,58,93,"TRAZO 25713 F Y CA    DOS DE CADA UNO."
168,59,73,"TRAZO 62050F   UNA COPIA"
169,59,92,"TRAZO 25818C-2   DOS TRAZOS."
170,60,70,"PLASTIFLECHA     7200  PZAS. DE 3""   PARA ORDS. DE LA  170 A 175
REPORTADA  EN FALTANTES."
171,61,46,"ETIQUETA DE LAVADO MONARCH. MOD. 897-B
TALLA EX (42)    40 PZAS.  
REPORTADA EN FALTANTES."
172,61,54,"ETIQUETAS DE LAVADO  MONARCH.  MOD. 995-B
2220 PZAS CON COMPOSICION 90% ALGOD‡N 10% POLIESTER.

(PARA REEMPLAZAR ETIQUETAS QUE SE ENVIARON ATERIORMENTE PERO CON COMPOSICION 50%50.)"
173,62,90,"Sies [6 pzas.] de Zorrillitos para pruebas con pegamento"
174,64,92,"ETIQUETAS DE TALLA  EX-70 PZAS."
175,65,70,"ETIQUETA BORDADA CHEROKEE.  4,950  PZAS. PARA ORD. 170 A 175,
ETIQUETA DE CARTON CHEROKEE  6,500 PZAS. PARA ORD. 170 A 175
REPORTADAS EN FALTANTES."
176,65,71,"PLASTIFLECHA DE 3""  10,500 PZAS.  REPORTADAS EN FALTANTES."
177,65,77,"ETIQUETA DE TALLA ESPECIAL T-14  1000 PZAS.
REPORTADAS EN FALTANTES."
178,65,67,"ETIQUETA DE PRECIO  PARA ORD. 162  A  168
CHEROKEE TEENS, NI•OS Y NI•AS."
179,65,71,"CIERRE VENUS SEP.  45 CM/TALLA CH       50CM/TALLA M       55 CM/TALLA EX
 ROSA Y MARINO          67 PZA X COLOR      133 PZ X COLOR      199 PZ SOLO COLOR MNO.
ETIQ. MONARCH."
180,65,72,"ELASTICO DE 2"" 11 ROLLOS / 550 MTS.
JARETA MARINO 6 ROLLOS /1200 MTS.   NOTA:  SE VA A METER JARETA MARINO PARA TODO EL MODELO. 
ETIQ. MONARCH"
181,65,77,"ETIQUETA MONARCH."
182,65,78,"ELASTICO DE 1 1/2"" CON JARETA 15 ROLLOS /750 MTS.
ETIQ. MONARCH"
183,65,85,"ETIQUETA MONARCH"
184,65,86,"ELASTICO DE 1 1/2"" CON JARETA 15 ROLLOS/ 750 MTS.
ETIQ. MONARCH"
185,65,87,"ETIQ. MONARCH
CIERRE VENUS SEP.    55CM TALLA 6Y8       60CM TALLA 10            65 CM TALLA 12,14 Y 16
MARINO Y HUESO       183 PZ X COLOR        123 PZ X COLOR            304 PZ. X COLOR"
186,65,88,"ELASTICO DE 1 1/2"" CON JARETA 4 ROLLOS / 200 MTS. (QUEDA PEND. X ENVIAR 11 ROLLOS)
ETIQ. MONARCH"
187,65,89,"ETIQ. MONARCH."
188,66,69,"CHAMARRA CON CAPUCHA EN JASPE DE CHEROKEE TEENS"
189,66,70,"PANTALON CON PRETINA EN JASPE DE CHEROKEE TEENS"
190,66,71,"CHAMARRA MANGA RANGLA EN ROSA DE CHEROKEE TEENS"
191,66,72,"PANTALON CON PRETINA EN ROSA DE CHEROKEE TEENS"
192,67,90,"380  ZORRO BORDADO RECORTADO CON PEGAMENTO"
193,67,92,"380  ZORRO BORDADO RECORTADO CON PEGAMENTO"
194,67,93,"380  ZORRO BORDADO RECORTADO CON PEGAMENTO"
195,68,71,"ETIQUETA DE MARCA CHEROKEE
BORDADA  4,950 PZAS.
DE CARTON 5,000 PZAS.
PARA ORDS. A PARTIR DE LA 176 A 184"
196,68,89,"PLASTIFLECHA DE 3""    1250  PZAS.     ( REPORTADAS EN FALTANTES 034)"
197,68,88,"ELASTICO DE 1 1/2"" CON JARETA  11 ROLLOS (550 MTS.)"
198,68,71,"CIERRE VENUS SEP. 55CM ROSA  199 PZAS.          PARA TALLAS G Y EX"
199,68,69,"ETIQUETA TALLA ESPECIAL CH-85 PZAS.
(REPORTADA EN FALTANTES 034)"
200,68,82,"TRAZO 64030 F Y CA  DOS DE CADA UNO."
201,68,75,"TRAZO 86010 F  DOS TRAZOS"
202,68,69,"TRAZO 82010 F Y CA  DOS DE CADA UNO."
203,68,70,"TRAZO 72010 F Y CA  DOS DE CADA UNO."
204,69,90,"ZORRO RETROFOX ESCUDO CON PEGOL PARA FUSIONAR."
205,70,62,"ETIQUETA DE PRECIO C/CODIGO DE BARRAS"
206,70,63,"ETIQUETA DE PRECIO C/CODIGO DE BARRAS"
207,70,64,"ETIQUETA DE PRECIO C/CODIGO DE BARRAS"
208,71,76,"TRAZO 76010 F   ( DOS TRAZOS.)"
209,71,83,"TRAZO 74030 F Y C   DOS DE CADA UNO."
210,72,93,"ETIQ. MONARCH  CH 70 PZA    M-130 PZ     G 130 PZ      EX-70 PZ
MOD. XCJ25713"
211,73,84,"TRAZO  64070 F,F1, C, CA Y CA1   DOS DE CADA UNO."
212,73,75,"TRAZO 86010 F   UNA COPIA."
213,76,65,"Muestra para produccion Mno.rey.bco . T-M"
214,77,76,"2500 MTS, PIOLA   (5 ROLLOS CADA UNO CON 500 MTS.)"
215,77,72,"TRAZO 72040 F Y CA   DOS DE CADA UNO."
216,77,65,"TRAZO 81020 F, C-1, C  Y CA  DOS DE CADA UNO."
217,77,66,"TRAZO  71020 F  DOS COPIAS."
218,77,78,"TRAZO  72030 F Y C    DOS DE CADA UNO."
219,78,69,"CHAMARRA GRIS JASPE CON VIVOS ROSAS ""MUESTRA ORIGINAL ""FAVOR DE REGRESARLA DESPUES DE OCUPARLA ."
220,77,85,"TRAZO 64010 F, C Y CA   DOS DE CADA UNO."
221,79,71,"TRAZOS  F, CA, DOS COPIAS DE CADA UNO"
222,79,87,"TRAZOS F, CA, DOS COPIAS DE CADA UNO"
223,79,88,"TRAZOS  F, DOS COPIAS DE CADA UNO"
224,80,86,"TRAZO F 2 COPIAS"
225,81,94,"TRAZO 814 F, C Y CA   DOS DE CADA UNO."
226,81,95,"TRAZO 815 F Y CA   DOS DE CADA UNO."
227,81,96,"TRAZO 712 F, C Y CA   DOS DE CADA UNO"
228,82,77,"TRAZO 62030F  DOS COPIAS."
229,83,89,"TRAZO  64060F Y CA   DOS DE CADA UNO."
230,83,71,"ETIQUETA MCA. CHEROKEE 4800 BORDADA  Y 5800 DE CARTON
PARA ORD. DE LA 176 A 184.
REPORTADAS EN FALTANTES."
231,84,75,"14 metros de tela razo color rosa y cielo 7 m de cada una"
232,85,97,"Orden de produccion y hoja de especificaciones"
233,85,98,"Orden de produccion y hoja de especificaciones"
234,85,99,"Orden de produccion y hoja de especificaciones"
235,85,100,"Orden de produccion y hoja de especificaciones"
236,85,111,"Orden de produccion y hoja de especificaciones"
237,86,97,"ETIQUETA  BORDADA DE MCA.  X-TEND
ETIQUETAS DE TALLA
TRAZO F DOS COPIAS"
238,86,98,"ETIQUETA  BORDADA DE MCA. X-TEND
ETIQUETAS DE TALLA
TRAZO F  2 COPIAS"
239,86,99,"ETIQUETA DE MCA X-TEND
ETIQUETAS DE TALLA
TRAZO F 2 COPIAS"
240,86,100,"ETIQUETA BORDADA  MCA X-TEND
ETIQUETAS DE TALLA
TRAZO F Y C   DOS DE CADA UNO"
241,86,111,"ETIQUETA BORDADA MCA X-TEND
ETIQUETAS DE TALLA
TRAZO F DOS COPIAS"
242,87,97,"ETIQUETA DE LAVADO  MONARCH
TALLAS :  CH - 600   M-1190     G-1190   EX-600"
243,87,98,"ETIQUETA DE LAVADO  MONARCH
TALLAS :  CH- 435  M-860    G-860    EX-435"
244,87,99,"ETIQUETA DE LAVADO MONARCH
TALLAS:   CH-515    M-1020   G-1020   EX-515"
245,87,100,"ETIQUETA DE LAVADO  MONARCH
TALLAS:  CH-351    M-692    G-692     EX-351"
246,87,111,"ETIQUETA DE LAVADO  MONARCH
TALLAS:  CH-435   M-860     G-860    EX-435"
247,88,69,"ETIQUETA DE PRECIO"
248,88,70,"ETIQUETA DE PRECIO"
249,88,75,"êTIQUETA DE PRECIO"
250,88,76,"ETIQUETA DE PRECIO"
251,88,82,"ETIQUETA DE PRECIO"
252,88,83,"ETIQUETA DE PRECIO"
253,88,84,"ETIQUETA  DE PRECIO"
254,89,70,"ETIQUETA DE TALLA ESPECIAL 
TALLA CH-25 PZAS.
TALLA M-46 PZAS
TALLA G-58 PZAS."
255,93,102,
256,94,102,"MUESTRA T-M COLOR  NARANJA C/NEGRO SUDADERA"
257,94,105,"MUESTRA  T-M COLOR AMARILLA C/MILITAR Y NARANJA  SUDADERA C/CAPUCHA"
258,94,106,"MUESTRA T-M COLOR NEGRO C/JASPE Y ROJO SUDADERA 1/2 CIERRE"
259,94,109,"MUESTRA  T-M COLOR REY C/ROJO PANTALON"
260,95,75,"TELA RAZO FRANCES COLOR CIELO Y ROSA 10 METROS DE CADA UNO"
261,96,97,"TRAZO 51002F1   DOS COPIAS"
262,100,65,"ORDEN DE PRODUCCION Y FICHA TECNICA"
263,100,66,"ORDEN DE PRODUCCION Y FICHA TECNICA"
264,100,71,"ORDEN DE PRODUCCION Y FICHA TECNICA"
265,100,72,"ORDEN DE PRODUCCION Y FICHA TECNICA"
266,100,87,"ORDEN DE PRODUCCION Y FICHA TECNICA"
267,100,88,"ORDEN DE PRODUCCION Y FICHA TECNICA"
268,101,71,
269,101,0,
270,102,71,"ETIQUETAS DE TALLA"
271,102,72,"ETIQUETAS DE TALLA"
272,102,65,"ETIQUETA DE TALLA"
273,102,66,"ETIQUETAS DE TALLA"
274,103,88,"MUESTRA  T-8 GRIS JASPE C/BIES MARINO"
275,104,97,"TRAZO 51002F1   UNA COPIA"
276,104,98,"TRAZO 51006F1  UNA COPIA"
277,104,100,"TRAZO 51013F1  UNA COPIA"
