"IdCC_Auditorias","NumAuditoria","IdOrdenes","FechaElaboracion","FechaAuditoria","IdMaquilero","IdUsuariosElaboro","IdUsuariosAuditor","TamanoMuestra","Resultado","TipoAuditoria","Observaciones","Cancelada"
61,61,712,23/06/2008 16:53:41,18/06/2008 00:00:00,28,31,31,32,1,2,"La  prenda preseto  en la auditoria  4 prendas con mal estampado. 
Se procuro checar mas predas y se quitaron aquellas que se detectaron con problema de estampado.Se reporto a Direcci¢n Producci¢n.",0
62,62,688,23/06/2008 17:05:48,19/06/2008 00:00:00,6,31,31,200,1,2,"Se noto ligeramete mal planchado en la parte baja de sisas. VariatePlayera Blanca",0
63,63,690,23/06/2008 17:13:58,19/06/2008 00:00:00,6,31,31,20,1,2,"Se noto ligeramete mal planchado en la parte baja de sisas. VariatePlayera Blanca/manga roja.",0
64,64,690,23/06/2008 17:17:02,19/06/2008 00:00:00,6,31,31,20,1,2,"Se noto ligeramete mal planchado en la parte baja de sisas. VariatePlayera Blanca/manga roja.",0
65,65,688,23/06/2008 17:21:25,20/06/2008 00:00:00,6,31,31,20,1,2,"Se noto ligeramete mal planchado en la parte baja de sisas. VariatePlayera Blanca/manga azul rey.",0
66,66,690,23/06/2008 17:30:32,20/06/2008 00:00:00,6,31,31,32,1,2," VariatePlayera Blanca/az£l.",0
67,67,690,23/06/2008 17:34:26,20/06/2008 00:00:00,6,31,31,32,1,2," VariatePlayera Blanca/manga amarilla.",0
68,68,687,23/06/2008 17:37:15,20/06/2008 00:00:00,7,31,31,32,1,2,"Variante playera polo roja/mario y blanco",0
69,69,695,23/06/2008 17:39:54,20/06/2008 00:00:00,7,31,31,32,1,2,"Variante playera polo blanco/naranja y negro",0
70,70,695,23/06/2008 17:42:19,20/06/2008 00:00:00,7,31,31,32,1,2,"Variante playera polo rey/negro y blanco",0
71,71,651,23/06/2008 17:45:38,20/06/2008 00:00:00,13,31,31,20,1,2,"Se encontrron 2 prendaas con ligero fruncimiento en sisas donde va pegado el vivo de  l aprenda .",0
72,72,736,23/06/2008 17:48:37,23/06/2008 00:00:00,28,31,31,8,1,2,"Se evaluron ls dos varintes de color  Negro y Plumbago.",0
73,73,735,23/06/2008 17:52:44,23/06/2008 00:00:00,28,31,31,8,1,2,"Se evaluron ls dos varintes de color  Marino y Rosa",0
74,74,714,24/06/2008 11:59:51,04/06/2008 00:00:00,35,31,31,32,1,1,"Se le pidio que antes de revisar un corte  revise las medidas de las prendas que concuerden con la ficha tÇcnica.Ya que se encontro que no concuerdan las medidas de la prenda con estas . Se informo a Dise§o y a Direcci¢n de producci¢n.
 Los datos ingresados a la ficha son incorrectos,Dise§o quedo en que revisaria dichas  fichas tecnicas.",0
75,75,695,24/06/2008 14:24:37,05/06/2008 00:00:00,7,31,31,32,1,1,,0
76,76,694,24/06/2008 14:29:21,05/06/2008 00:00:00,7,31,31,32,1,1,,0
77,77,687,24/06/2008 14:30:36,05/06/2008 00:00:00,7,31,31,32,1,1,,0
78,78,712,24/06/2008 14:40:44,06/06/2008 00:00:00,28,31,31,20,2,1,"Se encontro diferencia en el pespunte de cuellos.
Encontramos que  la ficha de especificaciones no concuerdan los datos de las medidas y tampoco la  etiqueta que se esta colocando es la misma que sta en la ficha tecnica . Los datos en la ficha estan incorrectos.
El maquilero no preseto su muestra fisica aceptada .
Posteriormete nos inforrmo dise§o que el d°a  3 de junio el maquilero  le entrego suu muestra autorizada. Nosotros lo visitamos el d°a 6 y ya tenia  practicamente toda la producci¢n terminnada. Aparetemente inicio antes de que se le autorizara la muestra,
Se le solicito arreglar la producci¢n antes de mandarla.",0
79,79,713,24/06/2008 15:09:53,11/06/2008 00:00:00,36,31,31,32,1,1,,0
80,80,690,24/06/2008 15:13:58,12/06/2008 00:00:00,6,31,31,32,2,1,"Se rechazola orde por mal deshebrado y mal palachado en mangas.",0
81,81,688,24/06/2008 15:17:38,12/06/2008 00:00:00,6,31,31,32,2,1,"Se rechazo por  problema de deshebrado y frucimiento por mal planchado de prenda.",0
82,82,688,24/06/2008 15:21:02,12/06/2008 00:00:00,6,31,31,32,2,1,"Se rechazo por mal dehebrado y mal palanchado",0
83,83,698,30/06/2008 17:26:49,27/06/2008 00:00:00,35,31,31,14,2,1,"Todas lasprendas de tala chmal panchadas se informo all maquilero y este plancho las prendas.",0
84,84,697,30/06/2008 17:32:08,27/06/2008 00:00:00,35,31,31,14,1,2,"Variantes Color Rosa  y turquesa",0
85,85,699,30/06/2008 17:36:38,25/06/2008 00:00:00,6,31,31,200,1,2,,0
86,86,696,30/06/2008 17:40:05,25/06/2008 00:00:00,6,31,31,20,1,2,,0
87,87,693,30/06/2008 17:42:50,25/06/2008 00:00:00,6,31,31,32,2,2,"Se encontraron prendas en auditoria sin etiqueta een tala ch se reeviso toda a tala y se encontraron en tota 19 prendas sin etiqueta de marca y sin el pespunte en cuellos.
Se informo a Direccion pruduccion y al Maquilero a al eencargada de calidad Cristina.",1
88,88,688,30/06/2008 17:49:36,25/06/2008 00:00:00,6,31,31,20,1,2,,0
89,89,688,30/06/2008 17:53:36,25/06/2008 00:00:00,6,31,31,32,1,2,"En esta orden se encontro defecto de estampado en los aros del estampado beijin.Se notifico al  Estampador",0
90,90,660,30/06/2008 18:00:30,17/06/2008 00:00:00,38,31,31,32,2,2,"Se detectaron prendas con problemas en el vivo que sta pegado en hombros ya que se ve chueco.",0
91,91,669,30/06/2008 18:04:44,20/06/2008 00:00:00,13,31,31,32,2,2,"Se observa fruncimiento en cuellos y se recibieron 9 prendas quemadas en cuello como segunda  asi como dos manchadas.",0
92,92,699,01/07/2008 13:51:49,25/06/2008 00:00:00,6,31,31,32,2,2,"Se encontraron prendas en auditoria sin etiqueta en tala ch se reeviso toda a tala y se encontraron en tota 19 prendas sin etiqueta de marca y sin el pespunte en cuellos.
Se informo a Direccion pruduccion y al Maquilero a al eencargada de calidad Cristina.",0
93,93,654,04/07/2008 16:34:50,02/07/2008 00:00:00,39,31,31,20,1,2,"Se habia reportado al maquilero diferencia de medida en la piola. Lo cual ya no odia corregir se aaviso a Direccion de produccion.",0
94,94,703,04/07/2008 16:40:23,01/07/2008 00:00:00,13,31,31,20,1,2,,0
95,95,670,07/07/2008 13:28:10,07/07/2008 00:00:00,40,31,31,32,1,2,"Se observa ligero fruncimiento",0
96,96,672,07/07/2008 13:30:44,07/07/2008 00:00:00,36,31,31,20,1,2,,0
97,97,778,07/07/2008 13:33:52,,0,31,0,0,0,0,,1
98,98,781,07/07/2008 15:25:53,07/07/2008 00:00:00,44,31,31,32,2,2,"Se encontraron  diferenia de tono de prenda a prenda en talla CH.Se informo para que se separara.
Playera Yazbek
",0
99,99,781,10/07/2008 10:33:31,09/07/2008 00:00:00,44,31,31,32,2,2,"Se encontraaron muchas hebras en el area de las sisas.
Playera Yazbek
",0
100,100,730,11/07/2008 16:52:33,10/07/2008 00:00:00,13,31,31,32,2,2,"La orden  presento muchas prendas en delanteros, espalda, manga y gorro con lomos de tela
La variante entregada es en color negro del maquilero TOMAS PE•A.
TambiÇn una de la mangas no estan simetricas hay una variaci¢n de 1/2 a 3/4 de pulgada de largo en as mangas de una misma prenda.",0
101,101,730,14/07/2008 16:16:58,14/07/2008 00:00:00,41,31,31,32,2,2,"Se encontraron prendas prisadas en cuello , hebras exteriores hilos de hasta 5 pulgadas y prendas descosidas 2.
Esta mercancia etra urgente y llego hasta las 3 de la ma;ana  al Almacen. Se envio asi para el pedido de Guadalajara. Pero quedaron algunas prenddas aqu° en el almacen y sobre esas se realizo la auditoria. El maquilero fue JULIO VILLANUEVA.

Se encontraron prendas con el lomo de la tela al frente , espalda y mangas.Lo anterior  fue informado por el mismo maquilero a Direcci¢n de Producci¢n adem†s se encontro tono de prenda a prenda.",0
102,102,702,14/07/2008 16:24:29,14/07/2008 00:00:00,41,31,31,20,2,2,"Se rechazo porque se detecto variaci¢n en la medida de la piola, 8 prendas.

Variante prenda negra/piola verde",0
103,103,702,14/07/2008 17:09:17,14/07/2008 00:00:00,41,31,31,20,1,2,"Se  encontraron en auditoria 4 prendas con l a piola en el area del cierre con diferencia de ancho.

Variante verde olivo /con piola negra",0
1,1,668,21/05/2008 11:17:05,16/05/2008 00:00:00,13,0,31,32,1,2,"
",1
2,2,623,29/05/2008 10:09:58,24/04/2008 00:00:00,28,31,31,20,2,2,,0
3,3,621,29/05/2008 10:28:00,24/04/2008 00:00:00,13,31,31,32,2,2,,0
4,4,624,29/05/2008 10:39:08,25/04/2008 00:00:00,6,31,31,32,2,2,,0
5,5,619,29/05/2008 10:44:34,25/04/2008 00:00:00,6,31,31,32,2,2,,0
6,6,620,29/05/2008 10:52:34,25/04/2008 00:00:00,6,31,31,32,2,2,,0
7,7,658,29/05/2008 11:01:37,07/05/2008 00:00:00,13,31,31,20,2,2,,0
8,8,661,29/05/2008 11:05:23,07/05/2008 00:00:00,13,31,31,20,2,2,,0
9,9,655,29/05/2008 11:11:44,06/05/2008 00:00:00,13,31,32,20,2,2,,0
10,10,655,29/05/2008 11:15:16,06/05/2008 00:00:00,13,31,32,20,0,2,"



Rechazada por causa principal hebras y prendas con puntadas rotas o descosidas, etiquetas mal colocadas.
",0
11,11,652,29/05/2008 11:24:11,06/05/2008 00:00:00,27,31,31,20,2,2,,0
12,12,652,02/06/2008 13:26:38,06/05/2008 00:00:00,27,31,31,32,2,2,"La prenda presenta muchos tonos   en la prenda la bolsa contra cuerpo(Bermuda), presento fruncimiento y muchas pundadas desosidas o rotas.",0
13,13,651,02/06/2008 13:35:12,,0,31,0,0,0,0,,1
14,14,656,02/06/2008 15:22:22,06/05/2008 00:00:00,27,31,31,20,2,2,"Prenda  del  modelo  21113  conjunto  PANTALON
En 7 pantalones se encontro que en el vivo se ve la union del bies.
En n allgunos pantalones cosieron con over y recta en el dobladillo.",0
15,15,656,02/06/2008 15:31:34,06/05/2008 00:00:00,27,31,31,20,2,2,"Prenda  del  modelo  21113  conjunto  CHAMARRA
La prenda presento en la auditoria  9 pzas con costuras disparejas,16 pzzas con  tension de hilo incorrecta(floja) y 4 pzas con cierres que no son de la medida por lo que se ve fruncida la prenda.",0
16,16,653,02/06/2008 15:41:38,07/05/2008 00:00:00,13,31,31,20,2,2,,0
17,17,659,02/06/2008 15:45:35,07/05/2008 00:00:00,28,31,31,20,2,2,"Prenda  del  modelo  21108  conjunto  CHAMARRA

Tonos  de tela de prenda a prenda y se encontraron alguna piezas con tono en la mism pieza solo 2",0
18,18,659,02/06/2008 15:52:55,07/05/2008 00:00:00,28,31,31,20,2,2,"Prenda  del  modelo  21108  conjunto  PANTALON


Se detectaron tonos de prenda a prenda",0
19,19,650,02/06/2008 16:19:44,15/05/2008 00:00:00,32,31,31,20,1,2,"Prenda  del  modelo  21103  conjunto  CHAMARRA",0
20,20,650,02/06/2008 16:25:22,15/05/2008 00:00:00,32,31,31,20,1,2,"Prenda  del  modelo  21103  conjunto PANTALON

Se detectaron 21 prendas sin etiqueta pero fue corregido el mismo d°a por el maquilero por lo cual se acepto su  auditoria.",0
21,21,668,02/06/2008 16:32:54,16/05/2008 00:00:00,13,31,31,32,2,2,"La orden fue rechazada y se realizo la devoluci¢n del amisma  ya que  el cuello  y vivos estan muy fruncido.Se regreso al maquilero para que la planchara

Se hizo DEVOLUCION",0
22,22,653,02/06/2008 16:38:58,20/05/2008 00:00:00,13,31,31,20,2,2,"Prenda  del  modelo  21104  conjunto  CHAMARRA

Se detectaron 8 pzas con la tensi¢n de hilo en costura incorrecta.
Tambien hubo 10 pdas con costura de cierre dispareja  se aprecia ligeramente.",0
23,23,474,02/06/2008 16:48:01,,11,31,0,0,0,0,,1
24,24,663,02/06/2008 16:50:47,23/05/2008 00:00:00,13,31,31,32,2,2,"Se indico desde a confecci¢n de la prenda al maquilero la mejora del frusimiento del vivo y cuello pero a pesar de que mejoro el frunsimiento en cuello en  vivo no mejoro se sigue presentando el mismo defecto.
Se le mostraron al Director de producci¢n  (Daniel Masri) e indico que fuera recivida as° la producci¢n.
E defecto ya no se puede corregir.Se le solicito al maquilero el corregir este problema, en las visitas que se le han hecho a mismo en su taller.",0
25,25,728,02/06/2008 17:03:13,30/05/2008 00:00:00,44,31,31,32,2,2,"Proveedor Yasbeck",0
26,26,726,02/06/2008 17:08:35,02/06/2008 00:00:00,44,31,31,32,2,2,"Proveedor Yasbeck",0
27,27,727,02/06/2008 17:12:25,02/06/2008 00:00:00,44,31,31,32,2,2,"Proveedor Yasbeck

El estampado presenta algunos defectos fuera de registro o intensidad 4 prendas.",0
28,28,729,02/06/2008 17:17:48,02/05/2008 00:00:00,44,31,31,32,2,2,"Proveedor Yasbeck

Se encontrarron tonos de prend a prenda , se informo para que fura separado a al hora de empacar.",0
29,29,665,02/06/2008 17:28:05,31/05/2008 00:00:00,30,31,31,32,1,2,,0
30,30,474,02/06/2008 17:33:03,23/05/2008 00:00:00,11,31,31,20,1,2,"Las prendas fueron confeccionadas y entregadas por Tomas Pe§a aunuque en ell sistem aindica aotro maqilero  Victor Alamos.
Prenda auditada bermuda en color rojo.",1
31,31,663,02/06/2008 17:39:50,19/05/2008 00:00:00,13,31,31,32,2,1,"a prenda fue confeccionada con al tela al reves se corto mal  se notifico a Direcci¢n de producci¢n (Danie Masri),y quedo de verlo con Wat- Mart, para su aprobaci¢n.

Se informo que a etiqueta de monarch no esta alla isma altura para que  el maquilero lo corrija.
El fruncido een cueos s epidio s epanchara para disminuiro al igual quee el de vivos  pero en este sera ms dific° ya que no se quitara del todo . 
Se le pidio tener especia cuidado en este punto. 
Se es pidio tener cuidado con el deshebrado.
-",0
32,32,663,02/06/2008 17:55:13,19/05/2008 00:00:00,13,31,31,32,2,1,"El fruncimiento en cuello mejoro, con el planchado pero el fruncimiento en vivos  y etiquet aes notorio un no tiene correcci¢n.
Se informo nuevamente a Direcci¢n Producci¢n. Se indico proseguir con la indicaci¢n anterior de aceptar as° la mercancia.",0
33,33,474,02/06/2008 18:03:16,22/05/2008 00:00:00,11,31,31,20,2,1,"Se le informo al maquilero que la orden estaba rechazada que se encontraron muchas hebras",1
34,34,662,03/06/2008 10:48:23,30/05/2008 00:00:00,13,31,31,32,2,1,"Se l einformo que tambiÔn se ve la etiqueta fruncida y que debe tomar en cunta elmismo anchodl cullo sobr too n el pico para qu no se vea mal la prenda .
Ademas se le informo de la simtria en el cuello ya tenia 100 prendas estas. Quedo n que las arreglaria.",0
35,35,693,03/06/2008 10:54:45,27/05/2008 00:00:00,6,31,31,32,2,1,"Se le informo al maquilero corregir todos los problmas detectados:

Se pido planchar a prenda y s indico adm†s como hacero.
Se pidio corregir centrado de eetiquetas
Se pidio dehebrar  y refilar  bien la prenda. Een costados y mangas.
Se pidio checr bien los cuelos porque se encoontraron prendas con tela safada donde pasa el collarete porque no se cosio bien el cuelllo en la over.
Y por ultimo se le pidio checar que las prends no tengn talls revueltas.",0
104,104,738,15/07/2008 14:57:15,15/07/2008 00:00:00,36,31,31,20,2,2,"Se encontraron muchas hebras sobre todo en la talla ch  fue repodrtado al Ing. Pallares.

Se reviso al 100% la talla CH y ya que fue en la que mas se encontro el problema y se tuvo que sehebrar al igual que la talla EG.",0
105,105,701,16/07/2008 11:44:07,15/07/2008 00:00:00,6,31,31,20,1,2,"Vaarinte en color rojo.",0
106,106,730,16/07/2008 11:46:42,16/07/2008 00:00:00,13,31,31,32,2,2,"Se encontraron prendas en la auditori que presentn el lomo de la tela en la cangurera
Por tal motivo se rechaza.
Por urgencia la enviaron al cliente.

Se encontro variacion de tono de prenda a prenda




Maquilero TOMAS PENA",0
107,107,730,17/07/2008 16:55:41,17/07/2008 00:00:00,40,31,31,20,2,2,"Se reporto que las prendas presentaban tono en la misma prenda y as[i como algunas hasta en la misma pieza  {manga,capucha delantero , banda , etc.

Se informo a Direcci[on de pproducci[on se separaron inicilmente las prendas  que fueron 174 pero la indicaci¢n de Direcci¢n fue que se intercalaran  para asi poder completar el pedido y entregar por urgencia.

Tambien presento una gran variedad de tonos de prenda a prenda en todas las diferentes tallas

Tambien se encontro que en uno de los tonos la tela de toda la prenda esta barrada 32 piezas en la revisi¢n que se hizo al 100%


Maquilero DANIEL JUAREZ",0
108,108,738,17/07/2008 16:57:19,17/07/2008 00:00:00,36,31,31,20,1,2,"Las prendas presentan ligera variaci¢n de tono de prenda a prenda",0
109,109,730,17/07/2008 18:02:42,16/07/2008 00:00:00,41,31,31,20,2,2,"Le fue rechazada la auditoria por el problema d etono en la misma prenda as[i como al revisar al 100 encontramos 24 prendas descosidas.Se informo a Direcci[on y elmaquilero sellevo sus prendas para su arreglo 73 prendas con problema.",0
110,110,738,18/07/2008 14:06:16,18/07/2008 00:00:00,0,31,32,20,0,2,,1
111,111,738,18/07/2008 14:10:14,18/07/2008 00:00:00,36,31,31,20,2,2,"Se observa que las prendas en el frente o espalda el lomo de la tela. Sobre todo resalta mas en la talla ch  en las otra tallas practicamente esta csi todo en la cangurera.

Se econtraron prendas sin etiqueta en la talla  CH se le informo  Maquilero y cambio las etiquetas.


Maquilero Ing. Pallares
",0
112,112,738,18/07/2008 17:44:24,18/07/2008 00:00:00,32,31,31,20,1,2,"See encontraron tonos de prenda a prenda.
Maquilero FELISA CHAVEZ",0
113,113,738,18/07/2008 17:47:46,18/07/2008 00:00:00,11,31,31,20,2,2,"Se encontraron hebras.

Tambien ya se habia reportado que hay variacii¢n de tono enla misma prenda pero causado por  la tela. Ya se habia informado a produccion Direcci¢n
Maquilero VICTOR ALAMOS


",0
114,114,730,29/07/2008 09:53:21,25/07/2008 00:00:00,36,31,31,20,1,2,"Se detectaron tonos de prenda a prenda.",0
115,115,730,29/07/2008 09:55:58,28/07/2008 00:00:00,41,31,31,20,2,2,"Se rechaza por hebras se  encontraron tonos de epreenda a prenda as[i como lomos en lla prenda.El corte no fue realizado por el Maquilero este lo efectuo el Ing. Payares.

TambÇn comento que solo entrego en este color gris la talla G y M el resto a£n no  lo entrega las tallas CH y EG. Estas se ele rechazaron en piso por presentar problemas en la cangurera, y hoyos al frente de la prenda, y hebras se le solicito arreglar los defectos encontrados.",0
116,116,706,29/07/2008 10:14:38,28/07/2008 00:00:00,13,31,31,32,1,2,"Se eencontro frucimiento en etiqueeta ya hab°amos reportado este problema en modelos ateriores. Y lo que ya hab°amos comentado es que era muy dificil pudiera corregir esto ya que al pegar el tapa se frunce.",0
117,117,793,29/07/2008 10:28:43,25/07/2008 00:00:00,44,31,31,20,2,2,"Las prendas presentaron muchas hebras en sisa, aletilla y cuello.
Estas son prendas compradas a YASBEK",0
118,118,730,05/08/2008 11:47:27,29/07/2008 00:00:00,13,31,31,20,1,2,"Se encontraron tonos de prenda a prenda",0
119,119,706,05/08/2008 11:51:19,29/07/2008 00:00:00,13,31,31,20,1,2,"Y se hab°a reportado que  las prendas presentaban diferencia de largo en manga en la misma prenda causa los vivos. Se vio enla junta de la semana pasada  29 de julio y se indico a diseno que checara el problema para corregirlo en producciones posteriores.",0
120,120,791,05/08/2008 11:55:13,30/07/2008 00:00:00,44,31,31,20,1,2,"Presenta hebras internas pero menores a 1 pulgada por lo que nos e consideraron como defecto.

Pero si es importante que vean que todas las prendas que hemos recibido de Yazbek tienen este problema

Vaariante Negro y Azul",0
121,121,791,05/08/2008 12:00:32,30/07/2008 00:00:00,44,31,31,20,1,2,"Presenta hebras internas pero menores a 1 pulgada por lo que nos e consideraron como defecto.

Pero si es importante que vean que todas las prendas que hemos recibido de Yazbek tienen este problema

Playera Naranja",0
122,122,657,07/08/2008 10:38:23,07/08/2008 00:00:00,13,31,31,20,1,2,"La tela del bies no es igual ala tela de la prenda  pero fue autorizado por direcci¢n de producci¢n Daniel Masri  utilizar esta tela.",0
123,123,703,13/08/2008 11:12:05,13/08/2008 00:00:00,13,31,31,20,2,2,"Pantal¢n variante negro. Ya fue informado el maquilero del  Rechazo.",0
124,124,705,13/08/2008 11:15:33,13/08/2008 00:00:00,13,31,31,32,1,2,"Pantal¢n Marino.
Pas aen puntos pero el defecto que presento fue el deshebrado ya se le notifico al  M†quilero.",0
125,125,710,13/08/2008 16:57:36,11/08/2008 00:00:00,41,31,31,20,2,2,"De las tallas auditadas la que se encontro mal fue la talla G. La cual se esta revisando al 100% para poder arreglarla.
Estatalla fue la que mando a maquilar el Sr. Villanueva con un maquilero el cual no nos quiso decir la direcci¢n y el directamente trajo las prendas.",0
