"IdProveedor","Proveedor","Telefono","Condiciones","Contacto","RazonSocialProv","TipoProv"
35,"Avery Dennison Retai","12850359","C.O.D.","Sritan  Indira Chavez",,
36,"Etiquetas Alky","57.63.70.81","Contado/15 Dias","Srita. Aline Gardu§o",,"H"
37,"Juan Bautizta","53-07-0978","Contado","Juan Bautista Roberto Nieto",,
38,"Gizatex","5333-0350","90 Dias","Alejandro Hernandez",,
39,"Transp. Noges","30-97-38-42",,"Hector Noges",,
40,"Transportes Casas","53-58-58-25","contado","Pedro Casas Rocio Perez",,
41,"Textiles MET","5358-4141","90 Dias","Jimmy Abadi",,
42,"Productividad de F.H","0144 99 158557","50% Anticipo 50% cod","Rosa Isela Zavala","Productividad de Factor Humano S.A. De C.V.",
43,"Cierres Rex SA de CV","2452.1600","Contado","Sr. Ramiro Anguiano",,
44,"Royal Mich",,"45 Dias","Fred Micha","Royal Mich S.A. de C.V.",
45,"Trans Rodriguez","2099-6289","CONTADO","Sr.Mayolo Santiago","Trans Pool",
46,"Atikva",,"90 Dias","Jose Amkie",,
47,"Latin American Label","01593 918 9035","C.O.D","Srita. Guadalupe Rostro","Latçn American Label, S.A. De C.V.",
48,"Kimex",,"90 Dias mas el mes","David Buzali",,
49,"RibbetiInternacional","9152.5825","CONTADO","Sr. Juan Gamaliel","Ribbon y etiquetas internacionales SA de CV",
50,"Protrim","5576-1000",,"Rafael Gallardo",,
51,"Serikron","3536-9111","45 Dias","Moises Krongold","Serikron, S.A. De C.V.",
52,"Jose Serur","5399-6459","30 Dias","Jose Serur","Jose Serur y Smeke",
53,"Sintalax","01.728.2852485","8 Dias","Diana Mtz",,
54,"Textiles Moy","5522-4738",,"Jonathan Moiseb","Distribuidora de Textiles Moy S.A. De C.V",
55,"Trans.Trejo","04455-1137-196","Contado","Reginaldo Trejo Mtz.","Transportes Trejo",
56,"Austroplast","1055.8312","60 dias","Sr. Alejandro Flores","Austroplast",
57,"CYTESA","5587.3322","50% anticipo 50% cod","Sr. Alejandro Rosas","Cintas y Telas Elasticas, S.A. De C.V",
58,"David Vargas Blanco","5700.1320","COD","Sr. Vargas",,
59,"CIPYNSA","9113.6737","90 dias","Sr. Marcos Farca","Cia. Indsutrial de Plasticos y Novedades",
61,"Transportes Tinsa","5358-3852","Contado","Maricela Trejo","Transportes Tinsa",
62,"Textiles Leon","5522 2961",,"Eduardo Hernandez","Textiles Leon, S.A. De C.V.",
63,"Super Cierres","5557.5453","COD","Leticia Botello","Super Cierres, S.A. de C.V.",
64,"GAYTAN","(455) 353 0110","90 Dias","Pedro Gonzalez","Tejidos Gaytan de Moroleon S.A. De C.V.",
65,"La palma","5597.7879","COD","Rene GonzÖlez","Materiales para calzado S.A. De C.V.",
66,"Tejidos Robin","5791.2464","Contad","Ivett Moreno","Tejidos Robin, S.A. De c.v.",
67,"Corrugados Sugar","53837977","15 dias","Guadalupe Martinez","Josä Antonio Garcça Calderas",
68,"Consum.para la Indus","01-728-2859060",,"Sr. Jose Luis Mexica","Gabriela Apolinar Gaytan",
69,"Zagis","5333-0350","Contado","Gariela Molina","Zagis SA de CV",
70,"Finotex","5541339634","Contado","Socorro Ruiz","Finos Textiles de Mäxico","H"
71,"Mexicana de Etiqueta","2617.0944","cod","Sr.Juan HernÖndez","Juan Marcial HernÖndez Vazquez",
72,"Yazbek","57648000","Contado",,"Grupo Comercial Yazbek S.A. De C.V.",
73,"Subli Impresos","5523.2770",,"Julio VelÖzquez","Subli Impresos Murr, S.A. De C.V.",
74,"Elasticos Tepeyac","5760.5622","Contado","Juan Manuel Balderabano","Elasticos Tepeyac, S.A. De C.V.",
75,"Esmida Textil","01728-282-6664","30 dias","Jose Cherem 3623-5598","Edmida Textil S.A. De C.V.",
76,"Daladia","8596-0955","30 Dias","Jenny Amkie","Daladia Servivios Textiles, S.A. de C.V.",
77,"Imagen Creativa","5889.9493",,"Victor Serrano","Angelica Guadalupe Pasten Bejarano",
78,"Elasticos Jalf","55 5763.8649","30 Dias","JosÇ Harari  5565646775","Elasticos Jalf, S.A. De  C.V.",
79,"Avante","01722-279-0900","90 Dias","Liliana Leyva","Distribuidora de Textiles Avante SA de CV","T"
80,"Etic Art","5804.3400","30 Dias","Florentino Rodriguez","IUSA Iztapalapa, S.A. de C.V.",
81,"Plasticos Lynsa","5872.3306",,"Srita Martha Lazcano","Plasticos Lynsa S,A, de C,V.",
82,"Elasticos Cintas y C","5300.9854","contado","Josä Miranda","Plata Obregïn Marça Patricia",
83,"Etiquetas Zalaquett","9000.0260",,"Eduardo Soto","Etiquetas Zalaquett de Mäxico S.A. De C.V.",
84,"Etiquetas Urgentes","56560008- 0902",,"Orana Labastida","Etquetas Urgentes, S.A. De C.V",
85,"Cajas Quintero","57128290",,"Sra. Quintero","Comercializadora d empaques y desp. Inds. SA de CV",
86,"Badishe, SA de CV","5517.0692","COD","Rocio Marina","Badishe, S.A. De C.V.",
87,"El Nuevo Plastico","55429863","Contado",,"El Nuevo plastico S.A.",
88,"Abadimex","5358.5036","30 dias","Juan Iniesta / 49805951","Industrias Abadimex S.A. De C.V.","H"
89,"Ragu y Pimac","5300.5241",,"Angelina Lïpez","RAGU Y PIMAC",
90,"GAN Y RES","5236.4480","Contado","Srita. Guadalupe Franco","Gan Y Res, S.A. De C.V.",
91,"Bordesti","6995 6514","Contado","Lic. Alberto Lïpez","Bordesti, S.A. De C.V.",
92,"CENTRO","5542.7304","Contado","Srita. Berenice",,
93,"Etiquetas Millennium","5512.4277",,"Sr. Salomïn Memón","Rajamin Memón Cheja",
94,"Cintas y Textiles","5567.8864","COD","Lic. Ivan Diaz","Cintas y Textiles de Mäxico, S.A. De C,V,",
95,"Cierres Automaticos","5522.8986","COD","Lupita Acosta","Cierres Automaticos National SA de CV",
96,"Checkpoint","51485800","CONTADO (55 85385351","Leticia Vargas ext. 2766","Checkpoint de Mäxico, S.A. De C.V.",
97,"Flejes y Emp. Nauc.","5357.2618",,"Rosalba Santiago 53580015","Flejes y Empaques Naucalpan, SA de CV",
98,"Xperma","5702-7974","60 dias","Alejandro Duran Luna","Alejandro Duran Luna",
99,"Transportes Roa",,,,,
100,"Tejidos DelSan","5893-2925","Contado","Juan Manuel Gomez","Tejidos del San S.A de  C.V.",
101,"Plasticos Inteligent","5390.9554","Contado","Lic. Carlos Zamora","Plasticos Inteligentes, SA de CV",
102,"Prisma GrÖfico","5824.4636","Contado","Ing. Eduardo Covarrubias","Eduardo Covarrubias Baltazar",
103,"Sunline","5754-9114","Contado","Gilberto Valdespino","Sunline Promotional Products",
104,"Transportes Salazar","0445523231201",,"Laurencio Salazar","Transportes Dalazar",
105,"Reginaldo Trejo","56124377",,"5511371962  y 12 55128659","Transportes Trejo",
106,"Extru Envases","5576.4399","Contado","Ing. Jonathan Lera","Extru Envases, SA de CV",
107,"Novelsa","2487.3353","Contado","Concepciïn Torres ext 18","Novelsa, S.A. De C.,V.",
108,"Alducin","0445538598195",,"Adriana","Alducin",
109,"ETI-GAR","242424.54","COD","SR. Garcia","Maria de los Angeles Garcia Rivera",
110,"Ketermex","5097.1200","30 DIAS","Mariana","ketermex S.A. De C.V.",
111,"Grupo Veda","55 3529 3444","Contado","Lic. Ivan Diaz",,
112,"Vaneto","5280-1300","90 Dias","David Buzali","Moda Vaneto S.A. de C.V.",
113,"Quimibond","57095809","Contado","Maricarmen Dominguez","Productora de No Tejidos Quimibond SA de CV",
114,"rene hdz","017727273101","contado","rene hdz","maquilero actopan hgo",
115,"Juan mosqueda","53076665","contado","Juan mosqueda","JUAN MOSQUEDA",
116,"Label Services","4617.2690","COD","Jorge Trejo","Jorge Trejo Herrera",
117,"MPP","4989.5929","Contado","Salvador Cornejo","Maquinaria y Perfiles Plasticos SA de CV",
118,"Moda Metal","5522.5797","Contado","Sr. Vicente","Moda Metal, S.A. De C.V.",
119,"Guken","1106.2209",,"Alejandra Prado",,
120,"Ganchos Tellez","5305.4894","CONTADO","Emma Tellez","IPT Inyecciones Plasticas Tellez, SA de CV",
121,"Blue Seven","4753-0427","Contado","Aron Mustri","Blue Seven S.A. de C.V.",
122,"Brigitex, S.A.de C.V","55224865","Contado","Sr. Elie Ayoub","Brigitex, .S.A de .C.V","T"
123,"Cierres La Perfecta","5588 1800","COD","Sr. Moises","La Perfecta",
124,"Cierres El Cubano","5522 2729","COD","Sr.Martin  Cabrera","Cierres El Cubano",
125,"Cierres Dany","5522 9559","COD","Sergio","Cierres Dany SA de CV",
126,"Etimas,","5872-3313","30 Dias","Srita. Martha","Etimas, S.A. De C.V.",
127,"Envolturas y Kraft","53-63--36-23","Al contado","Ivonne Tellez","Envolturas y kraft S.A.",
128,"Etiquerama","5542-3370","30 Dias","Guadalupe Castro","Rivera Rios Eduardo Demetrio",
129,"Apsa","5779 8000","30 Dias","Miriam Pastelin","Apsa, S.A de .C.V",
130,"Cantabrimex","55784738","Contado",,"Cantabrimex., S.A. De C.V.",
131,"Dinacyd","5383-9673","30 Dças","Isela","Dist. Nacional de Cintas y Diskett.,S.A. De C.V.",
132,"Blackand White",,"Contado","Sr. Ricardo Santamaria","Black and White, S.A. DE C.V.",
133,"Telco",,"90 dias","Meni Cohen / Said Marrun","Telco Textil S.A. de C.V.","T"
134,"Subli impresos",,"Contado","Manuel","Subli Impresos, .S.A de .C.V",
135,"Flejes y Cintas","5576 6764","Contado","Jose Antonio Ortiz","Flejes y Cintas SA de CV",
136,"Impresiones Artip,","33 3615 9255","Contado","Enrique Castro","Impresione Artip, S.A. De C.V.",
137,"Habilitacion y Confe","5528-2602","Contado","Eduardo Gutierrez","Habilitacion y Confeccion",
138,"Etiquetas Altima","5555887751","50% anticipo","Karen Borjas","Etiquetas Altima, S.A. De C.V.","H"
139,"Pat Primo",,"Contado","Leticia","Pat Primo SA de CV","T"
140,"Deportextil",,"Contado",,"Deportextil S.A. De C.V.","T"
141,"Trevia","5515-8760","30 dias.","Miguel Bejar","Corporativo Trevia, S.A. De C.V.","T"
142,"Textivision",,"Contado","Alberto Sifuentes","Textivision, .S.de R.L  de C.V.","T"
143,"Cierres Best","5587-6777","Contado","Eduardo Cam","Cierres Best de Mexico, S.A de C.V.",
144,"Picolo",,"Contado","Jose Carlos","Dise§os Picolo Mundo, S.A. DE C.V.",
145,"El Universo del cier","5518-5650","8 dias","Leticia Mendoza","El Universo del Cierre, S.A. De C.V.",
146,"Avios Xim","8596-5610","Contado","SR.  Gustavo Balderas","Avios Xim, .S.A de C.V.",
147,"Codigo Viza,","58877191","Contado","Sr. Victor Marin","Codigo Visa, S.A. De C.V.",
148,"Universo del cierre","5518-5650","20 Dias de Credito","Leticia Mendoza","Unverso del cierre, S.A. De C.V.",
149,"Papelsa","24650399","Contado","Brisa","Papel, S.A.",
150,"Julio Solis","5358-5925","Contado","Ivan Solis",,
151,"Sekine","5576-0076","90 Dias","Jimmy Arakanchi","Grupo Sekine SA de CV","T"
152,"Imex","2489-0000","Contado","Laura Martinez","Surtidora Textil Imex Sa de Cv",
153,"Textiles Eliza","5517838539","Contado","SR. Jorge Pe§a","Textiles Eliza, S.A de C.V.",
154,"Bordados Computariza","333628-4794","15 dias","Adriana Preciado","Bordados computarizados, .S.A de C.V.",
155,"Impresos San Raul","Tel. 55281924","Contado","Sr. Eduardo Gutierrez","Impresos San Raul, S.A de C.V.",
156,"Multicierres","5709/7528","Contado","Shayket  Attie","Multicierres S.A de C.V.",
157,"Textiles C.M","57520087","30 Dias","Sra. Martha Thierry","Textiles CM.S.A de C.V.","T"
158,"Dise§o e Imagen",,"Contado","Alejandro Ramirez","Dise§o e Imagen Mog, S.A. De C.V.",
159,"Abenamar","5527484964","Contado","Abenamar","Abenamar Monta§o",
160,"Botones Dimaron","2231-2764","Contado","Ulises Martinez","Rubi Ruiz Rivera",
161,"Textiles Teresa","5522 0763","Contado","Silvia","Textiles Teresa",
162,"Suajes Azcapotzalco","53522752","Contado","Oscar Salgado","Suajes Azcapotzalco",
163,"Escaparate","5588 0960","20 dias","Enrique Gonzalez Posada","Jaime Enrique Gonzalez Posada",
164,"Botones Jonathan","5704 0513","20 dias","Yshay Zafra","Letife Zonana Hilu","H"
165,"Servicios Graficos","5528 2602","COD","Lorena Garcia","Servicios Graficos San Raul SA de CV",
166,"Fernando Galicia",,"Contado","Fernando Galicia","Fernando Galicia",
167,"Tek Cierres","53574370","Contado","Maria Luisa Mercado","Tek Cierres Tecnologia S. de R.L. de C.V.",
168,"Altamirano Textil",,"Contado",,"Altamirano Textil",
169,"Virginia Textil",,"Contado",,"Virginia Textil",
170,"La Unica","5694 8439","Contado",,"La Unica",
171,"Seritex","3096 5991",,"Juan Carlos Cue","Soluciones Graficas textiles",
172,"Cajas Guxma",,"Contado",,"Cajas Guxma SA de CV",
173,"Elasticos Antava","5522 6491","Contado","Claudia Peredo/5694 8767","Elasticos y Cintas Antava SA de CV",
174,"Pedro Salgado",,"Contado","Pedro Salgado","Pedro Salgado",
175,"Alberto Gonzalez","5524145651","Contado","Alberto Gonzalez","Transportes ""El Triste""",
176,"Julio Cesar Mendez","55 33080814","Contado","Julio Cesar Mendez","Julio Cesar Mendez Pardo",
177,"Oscar Flores","0457498508826","Contado",,"Oscar Flores",
178,"Alfredo Juanico",,"Contado",,"Alfredo Juanico",
179,"PADI"," 33 333651230","Contado","Miriam Rodriguez","Papel Dise§o y Color SA de CV",
180,"Yuri Textil",,"Contado","Sr.Uriel","Yuri Textil, S.A de C.V.",
181,"I Wey Textil","54910944","Contado","Srita. Atilano","I Wey Textil, S.A de C.V.",
185,"Stone Fashion",,"20 D°as","Carmen","Stone Fashion, S,A. DE C.V.",
186,"Texcere",,"Contado","Eduardo Duran","Texcere, S.A de C.V.",
187,"Textiles del Norte","55228035","Contado","Sr.Abned","Textiles del Norte",
188,"Sanchez Ebasa",,"Contado","Eduardo Duran","Sanchez Ebasa, S de R.L.de C.V.",
189,"Vanitex",,"Contado","Laura Martinez","Vanitex, .S.A de C.V.",
190,"Roman Manilla","sin telefono",,"Roman Manilla",,
191,"Vivatex",,"Contado","Martha Jaime","Grupo Vivatex, .S.A de C.V.","T"
192,"Vivatex",,"Contado","Martha Jaime","Grupo Vivatex, S.A. De C.V.","T"
193,"GRUPO BOTAO",,,,,
194,"Grupo Botao","3311622267","Contado","Jesus Rios","Botao S,A de C.V.",
195,"Casa Diaz","5764 9090","Contado","Ana Lorena  Lopez ext 2610","Casa Diaz de Maquinas de Coser",
196,"Legardi","5534880892","Contado.","Rosalinda Velazquez Vergara","Rosalinda Velazquez Vergara",
197,"Boton Class","5510536868","30 d°as","Emilio Z.10536868",,
198,"PADI","(33)33-6512-30","CONTADO","MIRIAM RODRIGUEZ","PAPEL,DISE•O Y COLOR S.A. DE C.V",
199,"Evelyne",,"Contado",,"Textiles Evelyne, S.A de C.V.",
200,"BORCOM","(33)31250050","15 dias","Araceli Villalobos","BORDADOS COMPUTARIZADOS S.A DE C.V.",
201,"Grupo Absatex","01728-2826510",,"Vero Valdez","Absatex, S.A. De C.V.",
202,"Absatex",,"Contado","Veronica Valdez","Grupo Absatex, s.a. De c.v.",
203,"Hilaturas Excel",,"Contado","Luz Maria Ibarra","Hilaturas Excel, S.A. De C.V.",
204,"Masteredi","26155555","Contado","Jazmin","Masteredi, S.A de C.V.",
205,"Juan Manuel Orozco",,,,"Transportes Orozco",
206,"Qualy Group",,,"Sr. Daniel Totah","Qualy Group, .S.A de C.V.",
207,"Habilitacions Marian","55225236",,"Sr. Martin","Habilitaciones Marian",
209,"CIERRES ESPECIALES M","5522-7336","CONTADO","CESAR GARCIA","CIERRES ESPECIALES MARY",
210,"Luis Maga§a","65783362",,"Luis Maga§a","Trransportes Maga§a",
211,"Sonia Lizbeth",,,,"Sonia Lizbeth",
213,"ISABEL SANCHEZ","70398558",,,"COMIDAS Y CENAS",
214,"Vanytex","55223906","Conatdo",,"Vanytex, S.A de C.V.",
215,"Ykar Textil",,"90 Dias","Davida Kababie","Ykar Textil","T"
216,"Atree","5740-2210","Contado","Agustin Fuentes","Mauricio Atree",
217,"Varios",,,,"Varios",
218,"Telas Lua","558063-7610","Contado","Arlette","Telas Lua, S.A de C.V.","T"
219,"Jose Luis",,"Cortador.",,"Jose Luis",
220,"Casandra Textil",,"Contado","Sr. Ramon","Casandra Textil, S.A. De C.V.",
221,"Muiguel A. Emiliano","4455 3783 7083",,"Miguel Angel Martinez","Miguel Angel Emiliano Cervantes",
222,"Guillermo Aguilar","5516570339",,"Guillermo Aguilar","Guillermo Aguilar",
223,"Transportes Alfaro",,,,"Transportes Alfaro",
224,"Oscar Martinez Marti","04455-52138903","credito","Oscar","True colors",
225,"Transportes Serna",,,,"Transportes Serna",
226,"Francisco Perez","24-89-98-48","Credito",,"Todo para la Confeccion",
227,"R-PAC MEXICO","449 978 2212","CONTADO","Yaravid Hernandez","r-pac Mexico, S de RL de CV",
228,"jorsa impresores","5539-1326","30 dias","Natalia robelo","jorsa impresores s.a de c.v.",
229,"Fletes Trujillo","5561888870","Contado","Cesar Trujillo","Cesar Trujillo",
230,"ETIQUETAS VIA","55-42-154 Y 30","CONTADO","Rafael G","FABRICA DE ETIQUETAS E IMPRESORES VIA",
232,"Top Label SA de CV","442 3849178/77","Contado","Daniela Zu§iga 115","Top Label SA de CV",
233,"Marumex","5611473680",,"Ulises / 5568839372","Marumex",
234,"Habertex Mexico","5359 1552","COD","Sr. Margarito / Liz","Habertex Mexico",
235,"Spring","5532201169","90 Dias","Elias Cohen","Hilos y tejidos Spring","T"
236,"Sanatex","5522-8635",,"Sr. Toufic",,"T"
237,"Simjis","5520938039",,"Cinthya Rojas","Grupo Simjis, S.A de C.V.","T"
238,"La Rivera Mundial",,"Comtado","Sr. Luis Perdigon","La Rivera Mundial, S.A de .C.V.",
239,"DANNYTEX",,"Contado",,"Dannytex, S.A DE C.V.",
240,"Lua",,"Contado","SR. Jorge Guillermo","Especializaci¢n Textil, .S.A de C.V.,",
241,"Oscar Flores",,"Contado","Oscar flores","Oscar Flores",
242,"Hilaturas Selectas","5582-0222","Contado","Veronica Najera","Hilaturas Selectas, S.A de C.V.",
243,"Cierres BBJ","01722 275 3366","50% Anticipo 50% COD","AngÇlica Ortigoza","Cierres y Accesorios BBJ SA de CV",
244,"Etikame","5348 3777","15 dias","Adriana Roa/ 55603272","Etikame SA de CV",
245,"Etiloga","5784 0579","Contado","Lorenzo Garcia","Etiloga SA de CV",
246,"Cierres RBK","5923 7631","COD","Blanca Olvera","Marcela Olvera Maldonado",
247,"Miguel Angel",,"Contado","Miguel Angel Portilla","Miguel Angel Portilla",
248,"Textiles Santa Susan","5262 5290","50 anticipo/50 COD","Abel Torres Camarillo","Textiles Santa Susana SA de CV",
249,"Juan Carlos",,"Contado","Juan Carlos Portilla","Juan Carlos Portilla",
250,"Ebasa, S.A.",,"Contado","Eduardo","Ebasa, S.A.",
251,"Convertidora ZAK","55426226","COD","Naty","Convertidora ZAK SA de CV",
252,"Grupo Miro",,"Contado","Martha","Grupo Industrial Miro","T"
253,"Pablo",,"90 Dias","Pablo Dozetas","Pablo Dozetas",
254,"Estampados Anglo",,"8 DIAS","Gloria Sarmiento","Estampados Anglo, S.A de .C.V",
255,"Casa Daniel","55427473","Contado","Sr. Daniel","Casa Mary y Daniel .S.A.",
256,"Tejidos y Etiquetas","465 965 0001",,"Lolita L¢pez","Tejidos y Etiquetas SA de CV",
257,"Manufacturas Coli","55220775","Contado","Guillermo Salgado","Manufacturas Coli, .S.A de C.V.",
258,"Alta Moda",,"CONTADO","Orlando","Alta Moda, S.A DE C.V.",
259,"Litografica Gutenber","0133 38275647",,"Elisa Barba","Litografica Gutenberg",
260,"Hilaturas Spring","5870-1170","Contado","Eduardo Ochoa","Hilaturas Springs, S.A de C.V.","T"
262,"Grupo Reussir","55128829","Contado","Miriam","Grupo Reussir",
263,"Normandia",,"30","Dias","Telas Normandia, S.A de C.V.",
264,"Yarko","5761 1000","Contado","Dante Delgado","Manufacturera  Coli, .S.A de.C.V.",
265,"Grupo Sfij","5","Contado","Javier Martinez","Grupo Sfij, S.A de .C.V",
266,"Poliexcell","5761 1000","COD","Rosy Mu§oz","Poliexcel SA de CV rosy.poliexcel@gmail.com",
267,"HotFix","5254 1500",,"Ginna Venegas","HotFix Habilitaciones SA de CV",
268,"Alta Moda",,"Contado","Orlando","Alta Moda, S.A de C.V.",
269,"Juanico",,"Contado","Juanico","Alfredo Juanico","T"
270,"Joy Textil",,"Contado","Veronica","Joy Textil, S.A de C,V","T"
272,"Grupo Papelero","5597 4658","Contado","Marina Curiel","Grupo Papelero Gomez Cueto SA de CV",
273,"Elilea Textil",,"Contado","George","Elilea Textil","T"
274,"Windsor","5517013079","90 Dias","Nancy Barron","Texturizados y tejidos Windsor, S.A de C.V","T"
275,"Surticentro",,"Contado","Geoges","Surticentro",
276,"Virgoma Textil",,"Contado",,"Virgoma Textil, S.A. De C.V.",
277,"Deporte, S.A de C.V.",,"Contado",,"Deporte, S.A. De C.V.",
278,"Cajas GOPACK","5553571203","8 dias","Martin Cuevas","Cajas y Empaques GOPACK","H"
279,"Said Marrun",,"Contado","Said","Said Marrun","T"
280,"Joaquin Zarate",,"Contado",,"Joaquin Zarate",
281,"Fibramex",,"Contado",,"Fabricante de Hilos y Cordeles SA de CV",
282,"IUSA","58043400ex5012","Contado","Jose Luis Tapia","IUSA Iztapalapa SA de CV",
283,"Selanusa","91798900","Contado","Ariana Rodriguez ext 1158","Sederia La Nueva SA de CV",
284,"Satex Textil","7224023600","Contado","Diomedes Vieyra","Satex Textil, S.A de C.V.","T"
285,"TPD","8628 6420","Contado","Claudia Garnica/ 53574506","Tags, Printing and Design, SA de CV",
286,"Peppetex",,"Contado","Sr. Pepe","Peppetex","T"
287,"AZVY Artes Graficas","3868 0255","Anticipo / COD","Rosy Domiguez 19412332","AZVY Artes Graficas SA de CV",
288,"Monica Maldonado","0311 10531856","50/50","Mony Maldonado","Monica Viridiana Maldonado Ontiveros",
289,"Cintas Bontelar","0133 3145 3131","50 anticipo / 50 COD","Irma","Cintas Bontelar SA de CV",
290,"Dartex",,"Contado","Efrain Estrada","Dartex Textil, S.A de C.V.",
291,"Telas del continente",,"Contado",,"Telas del continente, S.A de .C.V","T"
292,"Explorer","81 83448710","Contado","Lorena  Ruiz/ Onoto Diaz","Creative Labels SA de CV",
293,"Grupo Himesa,S.A C.V","015368 6737","Contado","Oscar","Grupo Himesa, S.A de C.V.",
294,"Etiquetalo","0181 81904287","Contado","Abigail","Marcela Sylvia Sanchez Ayala",
295,"Ponchito Textil",,"Contado","Sr. Carlos","Ponchito Textil","T"
296,"Luis  Baez","5563762907",,"LUIS BAEZ","Luis Baez",
299,"Hilos para Confeccio","57091812","Contado","mostrador","Hilos para la Confeccion SA de  CV",
300,"Grupo Textil Pegaso","5761-5702","Contado","Carlos Augusto","Grupo Textil Pegaso, S.A de .C.V","T"
301,"Don Liston","55222434","Contado","Miriam",,
302,"Etiquetas Roque","5528568010","30 DIAS","Daniela reyes","Etiquetas Roque SA de CV","H"
303,"Yuly  Shaoxing",,"Contado","July","Yuli Shaoxing Hefei Trade",
304,"La Gamuza","55424011","Contado",,"La Gamuza SA de CV",
305,"Tripoli","55423070","Contado","Hector Velazquez","Tripoli cintas y elasticos",
306,"Peleter°a Continenta","55100749","Contado","Patricia Tristan","Peleteria Continental",
307,"Berenice","5522680692","Empaque",,,
308,"YKK","5569710 719","Contado","Miguel Granados","YKK Mexicana SA de CV",
309,"Fortipak","477 7152319","Contado","Elizabeth Guadian  ext 1101","Fortipak SA de CV",
310,"Valentin Trujillo",,,,"Valentin Trujillo",
311,"Kamafil","5551439428","Contado","Roberto Zamitiz","Kamafil, S.A de C.V.","T"
312,"Sinatex",,"Contado","Said Marrun","Sinatex, S.A de C.V.","T"
313,"Smartex",,"Contado","Isabel","Santiago Anotnio Martinez Chavez",
314,"Texlan","55422789","Contado","Alfredo","Texlan Mexicana",
315,"Fito Textil",,"Contado",,"Fito Textil, S.A de C.V.",
317,"Artex","5528944923","Contado","Salvador Zarza","Artex , S.A.","T"
318,"Adriana Luna","5534995246","COD","Adriana Luna","Adrina Luna",
319,"Pepetex","55223546","Contado","Sr. Jose Abdul","Pepetex","T"
320,"Sinatex",,"Contado","Said marrun","Sinatex, S.A de C.V.","T"
321,"Provededora REMCO","222 2329687","COD","Hector Herrera","Proveedora Remco SA de CV",
322,"Pantera Textil",,"Contado","Siad","Pantera Textil, S.A.","T"
323,"Roman Medina","5520519926","CONTADO","Roman Medina","Sergio Roman Medina Jimenez",
324,"Grupo Vision","5534687869","Contado","Anahi Pedraza","Grupo Vision Tex &S, S.A de C.V.",
325,"Distribuidora Artell","5580874590","COD","Ivonne Tellez","Arturo Ramirez Martinez",
326,"Neftalu Martinez","5529925402","COD","Neftalu Martinez","Neftalu Martinez",
327,"Cajas y Mas Cajas",,,,"Cajas y Mas Cajas",
328,"Cajas y Mas Cajas",,"COD","Sr. Jose Antonio","Cajas y Mas Cajas",
