"IdComentaOrd","IdOrdenes","IdUsuarios","FechaComen","Comentario"
39,175,2,21/03/2006 13:44:18,"Hubo un error grave en corte, y salio la mitad del corte con la frenja del lado derecho y la mitad con l ranja del lado izquierdo.
Le comente a Victor que me entregue separado (lo de un lado y lo del otro) Para mandarlo a tiendas distintas, aunque si le hice saber que el problema es bastante grave y que tenia que ver con Dise¤o si existe algun problema que lo manejemos asi."
40,222,2,29/03/2006 13:52:05,"Se autorizo quitarle el estampado del Numero ""10"""
41,224,2,29/03/2006 13:52:30,"Victor nos va a mandar una propuesta de un estampado a 3 tintas, en lugar de las 5 tintas que tiene este."
42,207,12,30/03/2006 14:32:08,"C.F -pantalon autorizado las costura estan correctas a la muestra original estoy aprobando el pantalon sin estampado por que la prenda no lo trae."
43,208,12,30/03/2006 14:36:45,"C.F-Short autorizado en costuras pero el monasch va del lado derecho y la hoja de especificacion indica lado izquierdo ,estoy autorizando el short sin estampado."
44,206,12,30/03/2006 14:42:12,"C.F -Short sin tramado en corte ,el hilo de pespuntes y collarete no son del tono de la tela ,el monarch esta colocado del lado derecho y la hoja de especificacion lo trae de lado izquierdo,en tiros la puntada de la over esta floja."
45,206,12,30/03/2006 14:51:13,"C.F la medida de la jareta no es la correcta la hoja de especificacion indica 1.25cm y la prenda trae 1.00cm le falta .25 cm."
46,208,12,30/03/2006 17:26:49,"C.F la jareta tiene 1.10cm y la hoja de especificacion indica 1.25cm."
47,205,12,30/03/2006 17:29:25,"C.F Pantalon autorizado las costuras estan correctas."
48,206,12,30/03/2006 17:36:00,"C.F Muestras de maquilero revisada pero sin estampado."
49,205,12,30/03/2006 17:36:53,"C.F muestra de maquilero revisada pero sin estampado..."
50,174,12,30/03/2006 17:41:04,"C.F Playera autorizada en costuras  se fruce en sisas pero se va a revisar moldes para ver si la manga no esta quedando chica."
51,174,12,30/03/2006 17:50:52,"C.F se reviso una variante con estampado ,el estampado tiene algunos detalles minimos."
52,184,12,03/04/2006 13:45:34,"C.F .Sudadera autorizadas en costuras unicamente le falto plancha en vivos de manga porque ser ven fruncidos .E l estampado se contamino con el fondo de la tela ."
53,176,12,03/04/2006 13:52:39,"C.F Chaleco autorizado en costuras .El estampado de la segunda variante llevaba high density y la contramuestra no lo trae ,el color color del casco es rojo y la contra muestra lo trae vino y esta fuera de registro."
54,188,12,03/04/2006 14:13:16,"C.F Short  autorizado costuras correctas se reviso sin bordado."
55,175,12,03/04/2006 14:17:04,"C.F   Short autorizado con costuras correctas en el estampado se corrio algo la tinta en el color blanco."
56,175,12,03/04/2006 14:20:04,"C.F Monarch el el tiro y la hoja de especificacion la indica en el costado izquierdo."
57,189,12,03/04/2006 14:21:20,"C.F pantalon autorizado costuras correctas .se reviso esta muestra con bordado y esta correcto y bien desebrado."
58,173,12,03/04/2006 14:24:36,"C.F Falda autorizada en costura pero en la pretina de cardigan estan fijando el elastico junto con la pretina y el la muestra fisica no lo lleva asi.se reviso una variante con estampado y esta correcto."
59,173,12,03/04/2006 14:30:09,"C.F Short autorizado en costuras pero el cardigan de pretina es de otro tono ."
60,186,12,03/04/2006 14:32:07,"C.F Short autorizado en costura pero la pretina de cardigan no es del tono de la tela"
61,177,12,03/04/2006 14:35:58,"C.F Playera autorizada en costuras pero el cuello se frunce un poco le falto plancha las puntadas de la etiqueta estan flojas ,se reviso el estamp do de la primera variante y esta correcto."
62,183,12,03/04/2006 14:53:39,"C.F Chamarra autorizada en costura pero en delantero esta un poco jalado donde esta el cierre ,se reviso sin estampado."
63,182,12,03/04/2006 14:59:07,"C.F Sudadera autorizada en costuras pero la etiqueta de marca no trae talla ."
64,172,12,03/04/2006 15:07:36,"C.F Costuras autorizadas pero la pretina de cardigan se fijo junto con el elastico y la muestra no va asi ,el tono de la jareta nada que ver con el tono de la tela .el estampado llevaba high density y la prenda no lo lleva ,esta encharcada la tina estampado no autorizado."
65,228,2,10/04/2006 14:43:48,"La orden de producion estaba equivocada..... No venia la combinacion."
66,219,12,10/04/2006 15:28:24,"C.F  Short autorizado en costuras ,el estampado esta correcto pero no trae jareta la prenda porque al maquilero no se le habia habilitado."
67,223,12,10/04/2006 15:32:05,"C.F Playera autorizada en costuras y estampado ."
68,216,12,10/04/2006 15:33:58,"C.F Playera autorizada en costuras pero el hilo de la over del ruedo no es al tono de tela la etiqueta esta chueca  y la talla se cose abajo de la etiqueta mas no va metida en el cardigan....."
69,185,12,18/04/2006 13:57:16,"C.F Pantalon autorizado en costuras"
70,190,12,28/04/2006 11:02:40,"Chamarra modificada el interior del cuello va en marino,porque se habia cortado otro tono de verde y no pude llevar dos tonos de verdes, tambien el vivo mas ancho que lleva la manga sucedi¢ lo mismo entonces a consecuencia de eso se elimino."
71,250,12,08/05/2006 13:58:29,"los moldes se modificaron  a la manga se le hizo cortes."
72,251,12,08/05/2006 14:00:24,"los moldes se modificaron se hizo cortes en el delantero."
73,252,12,08/05/2006 14:00:54,"los moldes se modificaron se hicieron franjas en costado."
74,253,12,08/05/2006 14:01:46,"los moldes se modificaron se hicieron cortes en costado."
75,256,13,09/05/2006 17:42:06,"EN EL PEDIDO DE WALMART SALIO CON MOD. 51581."
76,249,13,17/05/2006 13:07:30,"En pedido de WALMART aparece con Mod. 51689"
77,251,13,17/05/2006 13:08:14,"En el pedido de"
78,251,13,17/05/2006 13:08:23,"En el pedido de WALMART aparece con Mod. 61682"
79,269,2,24/05/2006 14:23:15,"Se cambio la variante:
Azul Silver / Cielo / Acero
a:
Cielo / Blanco / Marino"
80,270,2,24/05/2006 14:24:16,"Se cambio la variante:
Azul Silver / Acero
a:
Cielo / Marino"
81,271,2,24/05/2006 14:31:36,"Se cambio la variante de ""Fresa"" por ""Fiusha"""
82,272,2,24/05/2006 14:32:49,"Se cambio la variante de ""Fresa"" por ""Fiusha"""
83,278,2,24/05/2006 14:36:42,"Se cambio la variante de ""Fresa"" por ""Fiusha"""
84,279,2,24/05/2006 14:36:50,"Se cambio la variante de ""Fresa"" por ""Fiusha"""
85,259,2,25/05/2006 19:23:49,"Quitar el estampado de abajo"
86,251,14,02/06/2006 17:30:34,"Se cambi¢ la posici¢n del estampado y colorido del mismo. Por problemas de emplastamiento. Se va a colocar en la parte de abajo del lado izquierdo,"
87,264,15,13/06/2006 12:59:33,"Se elimina el estampado de la manga"
88,268,12,13/06/2006 13:02:19,"estampar el delantero en corte"
89,274,12,13/06/2006 13:02:57,"se elimino estampado en manga"
90,315,2,13/06/2006 18:50:39,"Cambio el color NARANJA a ROJO."
91,317,2,13/06/2006 18:51:06,"Cambio el color NARANJA a ROJO."
92,318,2,13/06/2006 18:51:10,"Cambio el color NARANJA a ROJO."
93,319,2,13/06/2006 18:51:17,"Cambio el color NARANJA a ROJO."
94,246,11,15/06/2006 17:57:28,"queda autorizado 2 estampados"
95,259,14,23/06/2006 15:15:36,"Se elimin¢ el estampado de abajo y se modific¢ para que quedara en una s¢la tinta, t‚cnica Puff"
96,317,2,12/07/2006 12:06:28,"Se autorizo el estampado a $3.30"
97,279,2,17/08/2006 17:09:56,"Se cambio el colorido de la veriante:
Morado / Lila / Hueso

Por:
Caf‚ / Hueso / Turqueza"
98,276,2,17/08/2006 18:29:41,"Se cambio el verde por cobalto"
99,277,2,17/08/2006 18:29:56,"Se cambio el verde por cobalto"
100,278,2,17/08/2006 18:38:12,"Se cambio el colorido de la veriante:
Lila / Morado / Hueso

Por:
Caf‚ / Hueso / Turqueza"
101,281,2,18/08/2006 11:20:57,"Le autorice quitarle el pespunte en la parte trasera de la franja"
102,337,2,25/08/2006 13:08:13,"Se cambio el color ""Gris"" por Jaspe."
103,336,2,25/08/2006 13:08:31,"Se cambio el color ""Gris"" por Jaspe."
104,277,2,29/08/2006 17:32:14,"En la variante marino, va a ir la jartea en marino en lugar de blanco"
105,328,2,31/08/2006 12:34:17,"Cambiaron las combinaciones originales:
Olivo / Gris / Gris piedra --a--  Olivo / Peltre / Arena
Marino / Gris Claro / Cielo --a-- Marino / Plumbago / Gris"
106,285,2,06/09/2006 12:51:03,"Se cambio la combinacion Hueso por marino en el fondo olivo."
107,284,2,06/09/2006 12:51:44,"Se cambio la combinacion Hueso por marino en el fondo olivo."
108,336,2,25/09/2006 10:52:20,"Autorice quitarle el pespunte de pu¤os."
109,338,2,25/09/2006 13:26:50,"Se modifico la cantidad de 2,400 a 2,268"
110,338,10,10/10/2006 15:53:15,"EL MONARCH TIENE EL MODELO 61056"
111,383,12,14/11/2006 11:55:04,"estampar antes de pegar el cuello"
112,424,2,22/01/2007 19:31:42,"Se modifico la cantidad"
113,425,2,22/01/2007 19:32:22,
114,425,2,22/01/2007 19:32:39,"Se modifico la cantidad"
115,438,2,21/02/2007 10:56:42,"Estaba equivocada la orden. Estaba ""Blanco / Rojo"""
116,469,2,14/05/2007 13:43:23,"El cardigan va a ir en cielo."
117,489,21,15/05/2007 17:25:44,"El Logo Head 71901 va bordado en color BLANCO - NO va estampado"
118,490,21,16/05/2007 09:55:30,"El logo HEAD va BORDADO EN BLANCO"
119,490,21,16/05/2007 09:56:00,"Yel otro short va BORDADO en color NARANJA"
120,490,21,31/05/2007 15:39:15,"Lleva piola de la mas delgadita"
121,516,10,12/06/2007 15:56:54,"ï""MUY IMPORTANTE EL CODIGO CORRECTO ES: 7509564619091'"""
122,469,10,19/06/2007 12:51:57,"EL MONARCH ES 207D0605"
123,488,21,25/06/2007 08:45:12,"El Logo de la parte trasera 55106 va estampado ."
124,489,21,28/06/2007 17:01:57,"SE CANCELA BORDADO Y VA TODO ESTAMPADO"
125,490,21,28/06/2007 17:02:54,"SE CANCELA BORDADO Y VA ESTAMPADO"
126,495,6,09/07/2007 13:01:08,"este modelo se va a manejar en maquila por separado para el pantalon es
modelo PT-21777 y para sudadera SD21777"
127,495,6,11/07/2007 12:53:50,"PT-21777 Y SUDADERA SD-21777"
128,573,21,12/11/2007 11:55:54,"El otro Color es NEGRO / JASPE ... NO es PERLA"
129,573,21,12/11/2007 17:45:44,"SE CORRIGE... SI VA EN COLOR NEGRO /PERLA"
130,580,2,27/11/2007 13:33:13,"Se modifico la cantidad de 3,216 a 3,904"
131,578,2,27/11/2007 13:33:33,"Se modifico la cantidad de 3,216 a 3,904"
132,577,2,27/11/2007 13:33:38,"Se modifico la cantidad de 3,216 a 3,904"
133,573,21,28/11/2007 10:50:36,"Estampado SERµ EN BLANCO"
134,624,12,18/01/2008 11:30:33,"lleva tapa costura"
135,624,12,18/01/2008 11:44:19,"el cuello va de la misma tela ."
136,625,12,18/01/2008 14:56:37,"revanar bies para piola a la segunda combinaci¢n."
137,640,23,13/02/2008 16:04:21,"Pu¤os y pretina de cardigan."
138,641,12,13/02/2008 16:05:42,"No lleva bolsa de canguro.
Embiesar cuello y sisas."
139,644,12,13/02/2008 16:09:49,"rebanar bies a la segunda combinaci¢n."
140,645,12,13/02/2008 16:10:55,"cardigan en cuello a la combinaci¢n."
141,647,12,13/02/2008 16:15:27,"revanar bies de sisa y cuello en cardigan a la combinaci¢n."
142,651,12,13/02/2008 16:23:52,"revanar vivos de manga al fondo"
143,652,12,13/02/2008 16:24:18,"piola en costados"
144,652,12,13/02/2008 16:25:39,
145,653,12,13/02/2008 16:26:01,"rebanar vivos a la segunda combinaci¢n"
146,654,12,13/02/2008 16:29:50,"rebanar piola a la segunda combinaci¢n"
147,655,12,13/02/2008 16:30:17,"rebanr vivos a la segunda combinaci¢n"
148,656,12,13/02/2008 16:33:22,"rebanar vivos para pantalon a la segunda combinaci¢n"
149,657,12,13/02/2008 16:33:54,"cuello de la misma tela a la combinacion"
150,658,12,13/02/2008 16:35:53,"rebanar vivos a la combinaci¢n"
151,660,12,13/02/2008 16:39:06,"rebanar vivos a la combinaci¢n"
152,646,12,13/02/2008 16:52:16,"la segunda combinaci¢n es el estampado"
153,648,12,13/02/2008 16:52:43,"la segunda combinaci¢n es el estampado"
154,657,12,13/02/2008 16:53:30,"la segunda combinaci¢n es el estampado"
155,673,24,19/02/2008 14:44:10,"revanr vivo amarillo"
156,674,12,19/02/2008 14:45:35,"revanr vivos de hombros en marino"
157,675,12,19/02/2008 14:46:20,"revanar vivo en color verde"
158,676,12,19/02/2008 14:47:00,"revanar vivos uno en amarillo y otro en verde"
159,677,12,19/02/2008 14:47:46,"revanar vivos uno en amarillo y otro en verde"
160,678,2,28/02/2008 12:47:10,"El Color Beige de esta orden, se va a tomar de la orden 674 que no se entrego, solo hay que cambiarle la etiqueta."
161,708,21,16/06/2008 13:07:38,"Los Logos van a ir ESTAMPADOS en High Density."
162,706,21,16/06/2008 13:08:46,"Los Logos van a ir ESTAMPADOS en High Density"
163,707,21,16/06/2008 13:09:09,"Los logos van a ir ESTAMPADOS en High Density."
164,709,21,16/06/2008 13:10:01,"Los Logos va a ir ESTAMPADOS en High Density."
165,710,21,16/06/2008 13:10:29,"Los logos van a ir ESTAMPADOS en High Density."
166,715,21,16/06/2008 13:10:58,"Los logos van a ir en Tecnica de FLOCK."
167,716,21,16/06/2008 13:12:49,"Los Logos van a ir en Tecnica de FLOCK."
168,717,21,16/06/2008 13:13:13,"Los logos va a ir en Tecnica de FLOCK."
169,718,21,16/06/2008 13:13:32,"Los logos van a ir en Tecnica de FLOCK."
170,719,21,16/06/2008 13:13:52,"Los logos van a ir en Tecnica de FLOCK."
171,781,29,30/06/2008 14:29:17,"Diferentes estampados para cada colorido"
172,746,21,01/07/2008 10:57:19,"Los LOGOS van a ir en TECNICA DE FLOCK.. Se puso en estampado ya que NO hay m s links para especificar."
173,747,21,01/07/2008 11:00:25,"Los LOGOS van en TECNICA DE FLOCK ."
174,748,21,01/07/2008 11:01:14,"Los LOGOS van en TECNICA DE FLOCK."
175,710,12,01/07/2008 14:29:32,"La manga se tiene que estampar en corte"
176,740,21,03/07/2008 09:44:12,"Los logos van en T‚cnica de FLOCK"
177,741,21,03/07/2008 09:47:45,"Los Logos van en T‚cnica de FLOCK."
178,742,21,03/07/2008 11:52:51,"Los Logos van en T‚cnica FLOCK."
179,787,28,15/07/2008 11:51:17,"EL PANTALON NO LLEVARA NINGUNA APLICACIàN"
180,794,28,01/08/2008 11:31:39,"El estampado se cambio de tama¤o el actual es de 10 x 2 cm"
181,795,28,01/08/2008 11:33:09,"El estampado se cambio de tama¤o, el actual es de 10 x 2 cm"
182,766,28,05/08/2008 14:49:52,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
183,767,28,05/08/2008 14:50:37,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
184,768,28,05/08/2008 14:50:50,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
185,769,28,06/08/2008 13:02:44,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
186,770,28,06/08/2008 13:02:50,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
187,771,28,06/08/2008 13:02:56,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
188,772,28,06/08/2008 13:03:02,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
189,773,28,06/08/2008 13:03:10,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
190,774,28,06/08/2008 13:03:21,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
191,775,28,06/08/2008 13:04:03,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
192,776,28,06/08/2008 13:05:04,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
193,777,28,06/08/2008 13:05:12,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
194,778,28,06/08/2008 13:05:19,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
195,779,28,06/08/2008 13:05:24,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
196,780,28,06/08/2008 13:05:32,"EL FLOCK ES EN COLOR NARANJA PARA TODAS LAS VARIANTES"
197,745,28,28/08/2008 12:36:31,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
198,746,28,28/08/2008 12:39:44,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
199,747,28,28/08/2008 12:40:02,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
200,748,28,28/08/2008 12:40:28,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
201,749,28,28/08/2008 12:40:45,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
202,750,28,28/08/2008 12:40:54,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
203,751,28,28/08/2008 12:40:59,"Los logos ir n estampados y estos ser n autorizados por el Sr. Marcos"
204,720,28,29/08/2008 10:39:15,"EL BORDADO QUE SE MUESTRA ES EL FINAL YA QUE EL ANTERIOR SE CAMBIO DEBIDO AL NUMERO DE PUNTADAS."
205,722,28,29/08/2008 10:48:58,"EL BORDADO QUE SE MUESTRA ES EL FINAL YA QUE EL ANTERIOR SE CAMBIO DEBIDO AL NUMERO DE PUNTADAS."
206,799,28,29/08/2008 10:49:33,"EL BORDADO QUE SE MUESTRA ES EL FINAL YA QUE EL ANTERIOR SE CAMBIO DEBIDO AL NUMERO DE PUNTADAS."
207,801,28,29/08/2008 10:51:34,
208,755,12,23/10/2008 13:38:56,"La chamarra va en color blanco onely-limon en panam
el pantalon va en oxford onely"
209,818,28,27/10/2008 14:58:22,"LAS APLICACIONES SON EN FLOCK"
210,819,28,27/10/2008 14:59:12,"LAS APLICACIONES SON EN FLOCK"
211,820,28,27/10/2008 14:59:18,"LAS APLICACIONES SON EN FLOCK"
212,821,28,27/10/2008 14:59:22,"LAS APLICACIONES SON EN FLOCK"
213,822,28,27/10/2008 14:59:27,"LAS APLICACIONES SON EN FLOCK"
214,830,28,05/01/2009 14:19:15,"LAS APLICACIONES SON EN FLOCK"
215,831,28,05/01/2009 14:19:44,"LAS APLICACIONES SON EN FLOCK"
216,832,28,05/01/2009 14:19:51,"LAS APLICACIONES SON EN FLOCK"
217,833,28,05/01/2009 14:19:59,"LAS APLICACIONES SON EN FLOCK"
218,834,28,05/01/2009 14:20:08,"LAS APLICACIONES SON EN FLOCK"
219,839,28,05/01/2009 14:20:24,"LAS APLICACIONES SON EN FLOCK"
220,840,28,05/01/2009 14:20:30,"LAS APLICACIONES SON EN FLOCK"
221,841,28,05/01/2009 14:20:36,"LAS APLICACIONES SON EN FLOCK"
222,842,28,05/01/2009 14:20:43,"LAS APLICACIONES SON EN FLOCK"
223,843,28,05/01/2009 14:20:49,"LAS APLICACIONES SON EN FLOCK"
224,848,28,05/02/2009 11:44:10,"APLICACIàN EN FLOCK"
225,849,28,05/02/2009 11:45:19,"APLICACIàN EN FLOCK"
226,850,28,05/02/2009 11:45:25,"APLICACIàN EN FLOCK"
227,851,28,05/02/2009 11:45:31,"APLICACIàN EN FLOCK"
228,852,28,05/02/2009 11:45:36,"APLICACIàN EN FLOCK"
229,859,28,16/02/2009 09:47:30,"NO LLEVA NINGUNA APLICACIàN"
230,864,28,27/03/2009 10:22:43,"STA PLAYERA NO LLEVA NINGéN TIPO DE APLICACIàN"
231,875,28,29/07/2009 15:03:48,"LAS DOS APLICACIONES SERµN EN REFLEJANTE PLATA"
232,876,28,29/07/2009 15:04:12,"LAS DOS APLICACIONES SERµN EN REFLEJANTE PLATA"
233,877,28,29/07/2009 15:04:17,"LAS DOS APLICACIONES SERµN EN REFLEJANTE PLATA"
234,878,28,29/07/2009 15:04:22,"LAS DOS APLICACIONES SERµN EN REFLEJANTE PLATA"
235,879,28,29/07/2009 15:04:28,"LAS DOS APLICACIONES SERµN EN REFLEJANTE PLATA"
236,940,28,05/08/2009 10:43:39,"ESTOS MODELOS NO LLEVAN NINGUNA APLICACIàN"
237,941,28,05/08/2009 10:43:59,"ESTOS MODELOS NO LLEVAN NINGUNA APLICACIàN"
238,942,28,05/08/2009 10:44:04,"ESTOS MODELOS NO LLEVAN NINGUNA APLICACIàN"
239,943,28,05/08/2009 10:44:10,"ESTOS MODELOS NO LLEVAN NINGUNA APLICACIàN"
240,904,28,11/08/2009 13:06:16,"LOS ESTAMPADOS SE HARAN EN PRENDA DESARMADA"
241,905,28,11/08/2009 13:06:45,"LOS ESTAMPADOS SE HARAN EN PRENDA DESARMADA"
242,909,28,11/08/2009 13:06:56,"EL ESTAMPADO SE HARA EN PRENDA DESARMADA"
243,911,28,11/08/2009 13:07:21,"EL ESTAMPADO SE HARA EN PRENDA DESARMADA"
244,912,28,11/08/2009 13:07:27,"EL ESTAMPADO SE HARA EN PRENDA DESARMADA"
245,928,28,17/08/2009 13:42:09,"ESTE MODELO SE ESTAMPARµ EN PRENDA DESARMADA"
246,882,28,17/08/2009 15:06:11,"ESTE MODELO SE ESTAMPARA EN PRENDA DESARMADA"
247,885,28,17/08/2009 15:06:33,"ESTE MODELO SE ESTAMPARA EN PRENDA DESARMADA"
248,886,28,17/08/2009 15:06:43,"ESTE MODELO SE ESTAMPARA EN PRENDA DESARMADA"
249,892,28,17/08/2009 15:07:06,"ESTE MODELO NO LLEVA NINGéN TIPO DE APLICACIàN"
250,893,28,17/08/2009 15:07:41,"ESTE MODELO NO LLEVA NINGéN TIPO DE APLICACIàN"
251,894,28,17/08/2009 15:07:46,"ESTE MODELO NO LLEVA NINGéN TIPO DE APLICACIàN"
252,895,28,17/08/2009 15:07:51,"ESTE MODELO NO LLEVA NINGéN TIPO DE APLICACIàN"
253,896,28,17/08/2009 15:07:57,"ESTE MODELO NO LLEVA NINGéN TIPO DE APLICACIàN"
254,939,12,18/08/2009 13:03:17,"La playera lleva un corbatero a la combinacion 
negro-turqueza   fresa-jaspe  gris-fresa"
255,902,12,26/08/2009 10:26:46,"Al cortar este modelo deben de mandar a revanar las piolas de manga rangla solamente llevan en la manga del delantero."
256,950,28,31/08/2009 11:37:35,"ESTA PLAYERA LLEVARA LA ETIQUETA DE TALLA ESTAMPADA"
257,902,12,01/09/2009 11:19:16,"cuello y pu¤o vienen en el trazo"
258,901,12,01/09/2009 11:19:45,"en el dibujo no se aprecia la franja del hombro la lleva en color blanco va en el trazo de la segunda combinacion"
259,903,12,01/09/2009 11:23:59,"el cuello y pu¤o lo llevan en el trazo de la combinaci¢n"
260,885,10,09/09/2009 08:18:07,"SE SUSPENDIO EL COLOR CIELO POR ESTAR MAL LA TELA {PILING}"
261,953,28,21/09/2009 13:31:36,"ESTE MODELO SE ESTAMPARµ EN PRENDA DESARMADA"
262,966,12,23/09/2009 14:42:42,"este conjunto tienen ke revanar los vivos ke lleva el short y la playera NO vienen en el trazo 
Es importante tener las muetras al cortar"
263,967,12,23/09/2009 14:46:29,"este conjunto NO lleva las piolas en el trazo hay que revanarlas lleva en marino y rojo"
264,967,12,23/09/2009 14:49:17,"es importante tener las muestra al cortar"
265,966,28,25/09/2009 09:40:59,"CADA PRENDA LLEVARA UN NUMERO DIFERENTE DEL 01 AL 99 DE MANERA CONSECUTIVA REPITIENDOSE SOLO EL NUM ERO 01"
266,946,28,05/10/2009 13:34:20,"ESTE MODELO LLEVA TAPACOSTURA DE TELA Y 1 BORDADO EN LA PARTE INFERIOR"
267,947,28,05/10/2009 13:35:16,"ESTE MODELO LLEVA TAPACOSTURA DE TELA Y 1 BORDADO EN LA PARTE INFERIOR"
268,948,28,05/10/2009 13:35:23,"ESTE MODELO LLEVA TAPACOSTURA DE TELA Y 1 BORDADO EN LA PARTE INFERIOR"
269,949,28,05/10/2009 13:35:30,"ESTE MODELO LLEVA TAPACOSTURA DE TELA Y 1 BORDADO EN LA PARTE INFERIOR"
270,969,28,05/10/2009 16:01:07,"ETE MODELO NO LLEVA NINGUN TIPO DE APLICACIàN"
271,969,12,06/10/2009 14:53:32,"revanar cinta para cuello este se colocara con la collarete"
272,963,12,13/10/2009 10:58:21,"Mandar a revanar cinta para sisa y cuello"
273,962,12,13/10/2009 10:59:08,"la pieza del cuello ya viene en el trazo"
274,954,28,19/10/2009 10:39:07,"ESTA PRENDA SE IRµ DESARMADA PARA EL ESTAMPADO (RECORTE VINIL)"
275,959,12,06/11/2009 12:23:51,"EL vivo del pantalon se mandara a revanar no lo lleva el trazo la medida es de 1""1/2 de ancho x 46"" de largo esto es por prenda"
276,958,12,06/11/2009 13:48:02,"revanar piola en naranja de 1"" de ancho por un total de 104"" x prenda si lo van a corta en microfibra favor de cortarla al sesgo ."
