"IdHabilitacion","Clave","Descripcion","Proveedor","Precio","Favorito","CantFav","Desactivado"
62,"EPN","ETIQUETA DE PRECIO NASA",,,0,0.00,0
63,"JN","JARETA NEGRA",,,0,0.00,0
64,"G08","Gancho Negro 01 Caball",,$1.00,0,0.00,0
65,"G09","Gancho Negro CB Ni¤o",,$0.70,0,0.00,0
66,"G10","Gancho Avion 14"" Bebe",,$1.10,0,1.00,0
67,"G11","Gancho 484 Sud.Sears/Suburbia",,$2.31,0,0.00,0
68,"G12","Gancho 2012 Pant Sears/Suburbi",,$2.58,0,0.00,0
69,"G13","Gancho 17"" Polar Cab/Dam",,$1.40,0,0.00,0
70,"J03","Cinta Palmita",,$1.90,0,0.00,0
71,"C33","Cierre Venus Retrofox 70 cm",,$7.95,0,0.00,0
72,"E13","Etiqueta bordada York",,$0.00,0,0.00,0
73,"E14","Etiqueta de carton York",,$0.00,0,0.00,0
74,"C34","Cierre Niluminio 25 cm",,$0.00,0,0.00,0
75,"C35","Cierre Niluminio 18 cm",,$0.00,0,0.00,0
76,"T02","Corredera  York",,$0.00,0,0.00,0
77,"E15","Etiqueta Mca  Fubu C/Talla","Paxar",$0.15,0,0.00,0
78,"E16","Etiqueta de carton Fubu","Paxar",$0.26,0,0.00,0
80,,,,,0,0.00,0
81,"E17","Etiqueta Mca Fubu P/Pantalon","Paxar",$0.15,0,0.00,0
82,"E18","Etiqueta Mca 725 Cab","AlVicza",$0.22,0,1.00,0
83,"E19","Etiqueta de talla 725 Cab","Al Vicza",$0.06,0,1.00,0
84,"E20","Etiqueta de Carton 725 Cab","Imagen Impresa",$0.00,0,1.00,0
85,"E21","Etiq Mca  AthleticWork Chamarr","Globalid",$0.56,0,1.00,0
86,"E22","Etiqet de carton Athletic Work","Globalid",$0.31,0,1.00,0
87,"E23","Etiqueta d talla Athletic Work","Globalid",$0.10,0,1.00,0
88,"E24","Etiqueta  Tap Cherokee Ni¤a","Paxar",$0.00,0,0.00,0
89,"E25","Etiqueta  Tap Cherokee Ni¤os","Paxar",$0.00,0,0.00,0
90,,,,,0,,0
91,"TMG","TRANSFER DE MARCA GOSSIP GIR",,,0,,0
92,,,,,0,,0
93,,,,,0,,0
94,,,,,0,,0
95,"G14","Gancho Negro George","Abadimex",$1.45,0,1.00,0
96,,,,,0,,0
97,"E31","Etiqueta Bordad  Head Naranja",,$0.30,0,1.00,0
98,"E32","Etiqueta Tap Head",,$0.11,0,1.00,0
99,"E33","Etiqueta Carton  Head Naranja",,$0.21,0,1.00,0
100,"ECC&A","ETIQUETA DE CODIGO C&A",,,0,,0
101,,,,,0,,0
102,,,,,1,,0
103,,,,,1,,0
104,"E37","Etiq Mca X-tend Playera","Global",$0.35,0,0.00,0
105,"E38","Etiqueta de tall X-tend","Global",$0.10,0,0.00,0
106,"E39","Etiqueta bord.Disney Ni¤a","Latin American",$0.14,0,1.00,0
107,"E40","Etiqueta carton Disney Ni¤a","Imagen Impresa",$0.12,0,1.00,0
108,"L01","Liston",,$0.45,0,0.00,0
109,,,,$0.00,0,,0
110,"B01","Boton",,$0.16,1,0.00,0
111,"E42","Etiqueta  AS con Folio",,$0.30,0,1.00,0
112,"E43","Etiq Mca SimlpyBasic Sudadera","Globalid",$0.21,0,1.00,0
113,"E44","Etiq. Mca SimpyBasic Pantalon","Globalid",$0.12,0,1.00,0
114,"E45","Etiq. De Talla SimlpyBasic","Globalid",$0.05,0,1.00,0
115,"E46","Etiq. De carton SimlpyBasic","Globalid",$0.00,0,1.00,0
116,,,,,0,,0
117,,,,,0,,0
118,,,,,0,,0
119,,,,,0,1.00,0
120,"C36","Cierre Nylon 5  F. 20 cm",,$2.92,0,0.00,0
121,,,,,0,,0
122,,,,,0,,0
123,,,,,0,,0
124,,,,,0,,0
125,"E55","Etiqueta Mca IXSPA",,$0.00,0,0.00,0
126,"E56","Etiqueta de carton IXSPA",,$0.00,0,0.00,0
127,"C37","Cierre Nylon de 15 cm",,$0.39,0,0.00,0
128,"A05","Elastico 4 mm","Cintas y tejidos",$0.22,0,0.00,0
130,"E57","Etiqueta Tap Polo",,$0.08,1,0.00,0
131,"E58","Etiqueta Cart•n Polo",,$0.17,1,0.00,0
132,"E59","Etiqueta bord. Polo",,$0.25,1,0.00,0
133,,,,,1,0.00,0
134,,,,,1,0.00,0
135,"J04","Agujeta 1.2",,$1.15,1,0.00,0
136,"A06","Elastico artisela  1 1/2"" bco",,$3.08,1,0.00,0
137,"J05","Jareta elastica",,$1.20,0,0.00,0
138,,,,,0,0.00,0
139,"C39","Cierre Invisible de 15 cm",,$1.38,0,0.00,0
140,"C40","Cierre Invisible de 35 cm",,$1.79,0,0.00,0
141,"E62","Etiqueta de lavado Satin Head",,$0.29,0,0.00,0
142,"C41","Cierre Vns sep 60 cm Esp Head",,$6.23,1,0.00,0
143,"E63","Etiqueta Carton Head/ Liverp.",,$0.64,1,0.00,0
144,"O01","Ojillo metalico de 1/2",,$0.27,1,2.00,0
145,,,,,1,0.00,0
146,"C42","Cierre Vns sep 65 cm Esp Head",,$6.46,1,0.00,0
147,"A08","Elastico artisela 1 1/2"" ngo.",,$2.21,1,0.00,0
148,"C43","Cierre Invisible de 25 cm",,$1.58,1,0.00,0
149,"E64","Etiqueta Carton Head Negra",,$0.19,1,0.00,0
150,"E65","Etiqueta SportLine Chamarra","Coppel",$0.00,0,0.00,0
151,"E66","Etiqueta SportLine Pantalon","Coppel",$0.00,0,0.00,0
152,"E67","Etiqueta tallla SportLine Cham","Latin American L.",$0.11,0,0.00,0
153,"E68","Etiqueta talla SportLine Pant","Latin American L",$0.13,0,0.00,0
154,"E69","Etiq. Carton Sup. Sport Line","Coppel",$0.00,0,0.00,0
155,"E70","Etiq, Carton Inf. Sport Line","Coppel",$0.00,0,0.00,0
156,"E71","Etiqueta Tap Sport Line","Coppel",$0.00,0,0.00,0
157,"E72","Etiq. de lavado Satin Nbalance",,$0.30,0,0.00,0
158,"E73","Etiqueta Mca.New Balance",,$0.00,0,0.00,0
159,"E74","Etiqueta Carton New Balance",,$0.00,0,0.00,0
160,,,,,0,0.00,0
161,"C44","Cierre Vns sep 70 cm Esp Head",,$6.54,0,0.00,0
162,"J06","Agujeta 1.50",,$1.35,0,0.00,0
163,"G15","Gancho Sud/Play Transp Suburb",,$1.80,0,0.00,0
164,"G16","Gancho Pant  12"" Cristl Suburb",,$1.90,0,0.00,0
166,"E76","Etiquet SouthAfrica c/talla",,$0.34,0,0.00,0
167,"E77","Etiqueta SouthAfrica Hombro",,$0.52,0,0.00,0
168,"E78","Etiqueta Escudo Inf. SouthAfri",,$0.55,0,0.00,0
169,"E79","Tapacostura SouthAfrica Varios",,$1.45,0,0.00,0
170,"E80","Etiqueta Carton Fifa Roar",,$0.43,0,0.00,0
171,"E81","Etiqueta Bordada HEAD Negra",,$0.15,0,0.00,0
172,"E82","Etiqueta Bord. EXXHIST",,$0.23,1,0.00,0
174,"E83","Etiqueta carton EXXHIST",,$1.17,0,0.00,0
175,"E84","Etiqueta Estampada Beige Fifa",,$0.07,1,0.00,0
176,"E85","Etiqueta Bord  32Nations Fifa",,$0.82,0,0.00,0
177,"E86","Etiqueta Bord Azul Fifa 2010",,$1.37,0,0.00,0
178,"E87","Tapacostura Be Seen Roar Bco",,$1.45,0,0.00,0
179,"E88","Tapacostura Fifa Negro/Azul",,$1.45,0,0.00,0
180,"E89","Etiqueta Carton Fifa Celebrate",,$0.45,0,0.00,0
181,"E90","Etiqueta estampada FREE R.",,$0.00,0,0.00,0
182,"E91","Etqueta Bordada Free Ride",,$0.00,0,0.00,0
183,"E92","Etiqueta lavado Chocolat Soda",,$0.12,1,0.00,0
184,"G17","Gancho Avion 12"" Bebe",,$0.90,0,0.00,0
185,"E93","Etiq.Satin  X-TEND BB","F.H.",$0.19,1,10.00,0
186,"E94","Etiq. Talla Satin X-TEND BB","F.H",$0.06,1,0.00,0
187,"E95","Etiq. Carton X-TEND BB","F.H",$0.10,1,0.00,0
188,"E96","Etiqueteta Negra Carton EXHHIS","Top Label",$0.20,1,1.00,0
191,"G18","Gancho superior de 12"" bbs",,$0.68,0,0.00,0
192,"C45","Cierre venus sep 55 cm fantasi",,$2.79,1,0.00,0
194,"C46","Cierre venus sep 70 cm fantasi",,$3.15,1,0.00,0
195,,,,,1,1.00,0
196,,,,,0,0.00,0
197,"A09","Elastico 7mm",,$0.26,1,0.00,0
198,"A10","Cinta de lino",,$0.17,1,0.00,0
199,,,,,1,2.00,0
200,"C47","Cierre v. Sep. 60 cm fantasi",,$2.98,1,0.00,0
201,"C48","Cierre v. Sep. 65cm fantasi",,$4.66,1,0.00,0
202,"C49","Cierre v. Sep. 75cm fantasi",,$3.25,1,0.00,0
203,"T05","Transfer de Mca y talla HEAD",,$0.40,1,0.00,0
204,"T06","Transfer Logo HEAD",,$0.50,1,0.00,0
205,"T07","Transfer Palabra HEAD",,$1.50,1,0.00,0
206,"T08","Transfer HEAD 12 cm",,$2.00,1,0.00,0
207,"C50","Cierre Nylon  de 12 cm",,$0.36,0,0.00,0
208,"E98","Etiqueta Bordada Marilyn",,$0.22,1,0.00,0
209,"A12","Elastico 3./4""",,$0.50,1,0.00,0
210,"A13","Elastico 1/2""",,$0.41,1,0.00,0
212,"A14","Elastico 5 mm .",,$0.47,1,0.00,0
214,,,,,1,0.00,0
215,,,,,1,0.00,0
216,"E101","Etiqueta Carton Marilyn",,$0.19,1,0.00,0
217,"E104","Etiqueta Carton Aerojazz",,$0.20,1,0.00,0
218,"C51","Cierre v. Sep.  50 cm fantasia",,$2.97,1,0.00,0
219,"E106","Etiqueta Sensor","Checkpoint",$0.77,1,1.00,0
220,"A16","Elastico 1 1/4""",,$1.28,1,0.00,0
221,"002","OJILLO NIQUELADOR NEGRO","ESCAPARATE",$0.27,0,0.00,1
229,"A20","Elastico de 1 3/4""","Elasticos y cintas",$2.06,0,0.00,0
234,,,,,1,0.00,0
235,"E112","Etiq. Carton Ricardo Luevano","Impresos Art Tip",$1.05,0,0.00,0
237,"A16","Elastico blanco 1 1/2""","Centro",$1.93,1,0.00,0
238,,,,,0,0.00,0
239,,,,,1,0.00,0
240,,,,,0,0.00,0
241,,,,,0,0.00,0
242,"A18","Elastico bco. 2"" crochet","Cintas y Elasticos",$1.98,1,0.00,0
246,,,,,1,0.00,0
247,"j01",,,$0.00,0,0.00,0
248,,,,,0,0.00,0
249,,,,,0,0.00,0
250,,,,,0,0.00,0
251,"C53","Cubrepolvo 40x60","Abadimex",$0.22,0,0.00,0
252,"C54","Cubrepolvo 50x1.20","Abadimex",$0.52,0,0.00,0
253,"B03","Bolsa celofan","Centro",$0.46,0,0.00,0
254,"B04","Almas de carton","Papelsa",$0.36,0,0.00,0
255,,,,,0,0.00,0
257,"C55","Cierre invisible de  75 cms.","Cierres Best de Mexico",$6.80,0,0.00,0
258,,,,,0,0.00,0
259,,,,,0,0.00,0
260,,,,,0,0.00,0
261,"E111","Etiqueta Exhhist Sofia","Abenamar Monta¤o",$0.68,1,0.00,0
263,"E113","Etiqueta Bordada Authentic","Abenamar",$0.39,0,1.00,0
264,"E114","Etiqueta Carton Brasil","Codigo Viza",$0.45,0,1.00,0
265,"E115","Etiqueta Carton Holanda","Codigo Viza",$0.45,0,1.00,0
266,"E117","Etiqueta Carton Francia","Codigo Viza",$0.30,0,1.00,0
267,"E118","Etiqueta Carton Inglaterra","Codigo Viza",$0.30,0,1.00,0
268,"A19","Elastico 1 1/4 con jareta","Antava",$2.20,0,0.00,0
269,"E119","Etiq. Bordada blanca de copa","sports jay",$0.00,0,1.00,0
270,"E120","Etiq. Bordada verde Fifa talla","Sports Jay",$0.00,0,1.00,0
271,"E121","Etiqueta Carton Fifa verde","Sports Jay",$0.00,0,1.00,0
272,"J08","Jareta redonda algod¢n 9mm","Escaparate",$2.00,0,0.00,0
273,,,,,0,0.00,0
274,,,,,0,,0
275,,,,,0,,0
276,,,,,0,,0
277,"J09","Jareta redonda algod¢n 7mm","Escaparate",$3.90,0,0.00,0
278,"O02","Ojillo metalico negro","Escaparate",$0.27,0,2.00,0
279,"O03","Grapa para punta jareta",,$0.32,0,2.00,0
280,,,,,0,,0
281,"E126","Etiqueta Carton KEBO","San Raul",$0.99,0,1.00,0
282,"C56","Cierre metalico niquel 18 cm",,$9.42,0,1.00,0
283,"C57","Cierre metalico niquel 15 cm",,$8.81,0,1.00,0
284,"J10","Ahorcador","Escaparate",$1.55,0,0.00,0
285,"O04","Ojillo k145 niquel","Escaparate",$0.10,0,0.00,0
287,"ELS01","Elastico de 2 1/2""","Cintas y elasticos",$3.00,0,0.00,0
288,"J11","Jareta plana 15mm algod¢n","Escaparate",$4.00,0,0.00,0
289,"B06","Boton No. 24","Dimaron",$0.48,0,0.00,0
290,"J12","Cinta Palmita 10 mm te¤ida",,$2.45,0,0.00,0
291,"E99","Etiqueta bordada Aerojazz","abenamar",$0.28,0,1.00,0
292,"A17","Elastico blanco 3/8","cintas y elasticos",$0.56,1,0.00,0
294,"E102","Etiqueta estampada EXHHIST","TOP LABEL",$0.20,0,1.00,0
295,"J13","Jareta plana 15mm algod¢n","cintas y elasticos",$2.40,0,0.00,0
296,"B07","Boton num.24","boton CLASS",$0.18,0,0.00,0
297,"C22","Cierre Venus sep. 65cm","Multicierres",$3.23,0,1.00,0
298,"C23","Cierre VENUS 10sep 70cm","MULTICIERRES",$3.33,0,1.00,0
299,,,,,0,1.00,0
300,,,,,0,0.00,0
301,,,,,0,0.00,0
302,,,,$0.00,0,0.00,0
303,"T10","ETQ DE CARTON LOB",,$0.00,0,0.00,0
304,"O06","OJILLO NIKEL VIEJO",,$0.10,0,0.00,0
306,"O07","OJILLO NEGRO # K-19",,$0.27,0,0.00,0
307,"A22","elastico 1cm","cintas y elasticos",$0.59,0,0.00,0
309,,,,$0.00,0,0.00,0
310,,,,$0.00,0,0.00,0
311,,,,$0.00,0,0.00,0
312,"E100","ETIQUETA BORDADA CKLASS CABAL","CKLASS",$0.16,1,0.00,0
313,,,,,0,0.00,0
314,,,,,1,0.00,0
315,,,,$0.00,0,0.00,0
316,"AL","Almas de carton","Cklass",$0.16,0,,0
317,"E127","Etiqueta carton temporada","Cklass",$0.16,0,0.00,0
318,"ETC","Etiqueta de carton de cuidado","Cklass",$0.16,0,0.00,0
319,"A23","Elastico 11mm","Cintas y Elasticos",$0.41,0,0.00,0
320,"O05","OJILLO K20 NEGRO","HABILITACIONES MARTIAN",$0.35,0,0.00,0
321,,,,$0.00,0,0.00,0
322,"J15","Jareta plana tubular",,$2.00,0,0.00,0
323,"E103","Etiqueta EBCGENERAL16","RPAC",$0.29,0,0.00,0
324,"E105","Etiqueta EBOUTER16","RPAC",$0.59,0,0.00,0
325,"E107","Etiqueta EBCASGEN16","RPAC",$0.29,0,0.00,0
326,"E108","Etiqueta Carton 17PTG-2 CYA","TOP LABEL",$0.10,0,0.00,0
327,"E109","Etiqueta EBTOPSGEN16","RPAC",$0.22,0,0.00,0
328,"E128","Etiqueta codigo CYA","Masteredi",$0.16,0,0.00,0
329,"E129","Etiqueta Dama CYA","Borcom",$0.25,0,0.00,0
330,"E130","Etiqueta Caballero CYA","Borcom",$0.26,0,0.00,0
331,"E131","Etiqueta Girls CYA","Borcom",$0.29,0,0.00,0
332,"E132","Etiqueta Tod CYA","Borcom",$0.29,0,0.00,0
333,"E133","Etiqueta Boys CYA","Borcom",$0.29,0,0.00,0
334,"E134","Etiqueta talla CYA","Borcom",$0.13,0,0.00,0
335,"G20","Gancho 12"" superior",,$0.68,0,0.00,0
336,,,,$0.00,0,0.00,0
337,"G19","Gancho pinza 8""",,$1.35,0,0.00,0
338,"G21","Bolsa","Centro",$0.13,0,0.00,0
339,"E136","Etiqueta generica Talla",,$0.05,0,0.00,0
340,"T13","Tallero plastico",,$0.04,0,0.00,0
341,"E137","Etiqueta Generica Precio",,$0.05,0,0.00,0
342,"E138","Etiqueta Carton Exhhist Sophia",,$1.17,0,0.00,0
343,"A24","Tira bordada",,$6.00,0,0.00,0
344,"C58","Cierre F. Pavonado 16 cm",,$3.80,0,0.00,0
345,"A25","Elastico 2 1/4""",,$2.62,0,0.00,0
346,"J14","Jateta redonda combinada",,,0,0.00,0
347,"E139","Etiqueta precio CYA",,$0.16,0,0.00,0
348,,,,$0.00,0,0.00,0
349,"O08","Ojillo Plastico",,$0.28,0,0.00,0
350,"E140","Etiqueta Redsky Ni¤as 4-10","Etikame",$0.41,0,0.00,0
351,"E141","Etiqueta carton Redsky ni¤as","Etikame",$0.39,0,0.00,0
352,"E142","Etiqueta Redsky damas plus","Etkame",$0.41,0,0.00,0
353,"E143","Etiqueta carton Redsky dama","Etikame",$0.39,0,0.00,0
354,"E144","Etiqueta bord Gnomos bebo/beba","Etikame",$0.41,0,0.00,0
355,"E145","Etiqueta carton Gnomos bebo/ba","Etikame",$0.39,0,0.00,0
356,"E146","Etiq. Paja bord Cozzi bebo/ba","Etikame",$0.41,0,0.00,0
357,"E147","Etiq.carton paja Cozzi bebo/ba","Etikame",$0.39,0,0.00,0
358,"E148","Etiqueta bord Fantastic 12-18","Etikame",$0.41,0,0.00,0
359,"E149","Etiqueta cartonFantastic 12-18","Etikame",$0.39,0,0.00,0
360,"E150","Etiqueta bord Hummo ni¤os 4-10","Etikame",$0.41,0,0.00,0
361,"E151","Etiqueta cartonHummo ni¤o 4-10","Etikame",$0.39,0,0.00,0
362,"E152","Etiqueta bord Redsky Teen12-18","Etikame",$0.41,0,0.00,0
363,"E153","Etiquet cartonRedsky Teen12-18","Etikame",$0.39,0,0.00,0
364,"E154","Transfer Cozzi bebo/beba","SGSR",$0.35,0,0.00,0
365,"E155","Transfer Gnomos bebo/beba","Etikame",$0.35,0,0.00,0
366,"A26","Cinta latex 6mm",,$0.70,0,0.00,0
367,"J16","Jareta petatillo",,$2.90,0,0.00,0
368,"C59","Contactel 19mm",,$2.72,0,0.00,0
369,"C60","Cierre Aluminio 5 separ  65 cm",,$11.54,0,0.00,0
370,"C63","Cierre Aluminio Sep. 64cm",,$7.47,0,0.00,0
371,"B08","Broche Pa¤alero",,$0.53,0,0.00,0
372,"J17","Jareta plana tubular con punta",,$5.00,0,0.00,0
373,"C62","Cierre 15cm Nylo3 goma inverti",,$5.93,0,0.00,0
374,"C64","Cierre Aluminio5  Fijo 15 cm",,$3.21,0,0.00,0
375,"B05","Broche Niquel",,$0.91,0,0.00,0
376,"C65","Cierre Nyl5 F. Goma inv 20 cm",,$5.30,0,0.00,0
377,"C66","Cierre Nylo5 15 cm goma invert",,$5.93,0,0.00,0
378,"A27","Elastico bco 3""",,$3.26,0,0.00,0
379,"E156","Etiquet cart Ricardo Luev C&A",,$1.21,0,0.00,0
380,"E157","Etiqueta  lavado Satin Aramara","Top Label",$0.15,0,0.00,0
381,"E158","Etiquteta mca Satin Aramara",,$0.17,0,0.00,0
382,"E159","Tallero satin Aramara",,$0.12,0,0.00,0
383,"J18","Punta metalica Aramara",,$0.00,0,0.00,0
384,"E160","Etiqueta leggins Andre Badi",,$0.28,0,0.00,0
385,"E161","Etiqueta patita Andre Badi",,$0.20,0,0.00,0
386,"E162","Etiqueta talla Andre badi",,$0.13,0,0.00,0
387,"E163","Etiqueta carton Andre Badi",,$0.17,0,0.00,0
388,"E164","Clip seguridad Andre Badi",,$0.45,0,0.00,0
389,"C67","Cierre Aluminio Sep. 55 cm",,$6.45,0,0.00,0
390,"J19","Punta metalica negra",,$0.55,0,0.00,0
391,"E165","Etiquet bord Fantastic 4-10",,$0.41,0,0.00,0
392,"E166","Etiqueta cart¢n Fantastic 4-10",,$0.39,0,0.00,0
393,"J20","Jareta Lurex",,$1.78,0,0.00,0
394,"E167","Etiqueta vinil rectangulo","Hotfix",$1.00,0,0.00,0
395,"E168","Etiqueta precio especial C&A","Artip",$0.95,0,0.00,0
396,"C68","Cierre invisible de 8 cm",,$2.08,0,0.00,0
397,"C69","Cierre nycast 10 cm fijo",,$1.56,0,0.00,0
398,"E169","Etiqueta estampada GETIT/azul",,$0.15,0,0.00,0
399,"E170","Etiqueta carton GETIT/ azul",,$0.26,0,0.00,0
400,"C70","Cinta Popotillo 25 mm",,$2.24,0,0.00,0
401,"J21","Cinta decorativa tricolor","cyntepsa",$2.35,0,0.00,0
402,"J22","Caja carton","varios",$19.00,0,0.00,0
403,"J23","Cinta palmita 20 mm","CYNTEPSA",$2.53,0,0.00,0
404,"E110","Etiqueta EBOUTER-A16","BORCOM",$0.43,0,0.00,0
405,"C71","Cierre alum 5 separable 50 cm","varios",$10.00,0,0.00,0
406,"C72","Cierre pol3 invert15 cm goma","national",$4.68,0,0.00,0
407,"C73","Cierre pol5 invert15 cm goma","national",$6.82,0,0.00,0
408,"E122","Transfer TRC&AG16","RPAC",$0.15,0,0.00,0
409,"E123","Etiq. Estamp EESATINMEN16","RPAC",$0.19,0,0.00,0
410,"E171","Etiqueta estampada GETIT Gris","Top label",$0.15,0,0.00,0
411,"E172","Etiqueta carton GETIT Gris","Top label",$0.26,0,0.00,0
412,"J24","Cinta palmita 25 mm","cyntepsa",$3.25,0,0.00,0
413,"J25","Cinta satin negra mca C&A","Zalaquett",$2.04,0,0.00,0
414,"J26","Placa metalica C&A  20 X 10 mm","Hotfix",$1.50,0,0.00,0
415,"E173","Etiqueta C.con el Perro 002","Bordesti",$0.17,0,0.00,0
416,"E174","Etiqueta C. Con el Perro 005","Bordesti",$0.27,0,0.00,0
417,"E175","Etiqu. CartC. Con el Perro001","SGSRAUL",$0.26,0,0.00,0
418,"C74","Cierre pol3 invertido fantasia","Cierres National",$4.23,0,0.00,0
419,"C75","Cierre pol. 5 fijo 13 cm","National",$2.70,0,0.00,0
420,"P02","Pompones","Boton class",$0.21,0,0.00,0
421,"E176","Etiqueta vinil realce","Hor Fix",$1.90,0,0.00,0
422,"B09","Broche L-19","IUSA",$0.76,0,0.00,0
423,"J27","Punta metalica Gunmetal",,$0.00,0,0.00,0
424,"O09","Ojillo metalico Gunmetal",,$0.30,0,0.00,0
425,"E177","Etiqueta EBOUTERM&WRL18","Borcom",$1.25,0,0.00,0
426,"E178","Etiqueta EBTSHR&TRO RL18","Borcom",$0.26,0,0.00,0
427,"E179","Etiqueta EBOUTERKID RL18","Borcom",$0.72,0,0.00,0
428,"E180","Etiqueta EBTOP RL18","Borcom",$0.39,0,0.00,0
429,"E181","Etiqueta carton HTAMORXMEX18","Artip",$0.57,0,0.00,0
430,"E182","Etiqueta carton HT RL 18","Artip",$0.53,0,0.00,0
431,"C76","Contactel 1 1/2""","Boton class",$5.48,0,0.00,0
432,"C10","Broche metalico calota","Boton class",$0.67,0,0.00,0
433,"A28","1/2 Argolla nylon 1""","Textiles Leon",$0.00,0,0.00,0
434,"J28","Puntas vulcanizadas","Hot fix",$1.20,0,0.00,0
435,"J29","Jareta redonda poliester punte","Cintas y elasticos",$2.10,0,0.00,0
436,"E183","Etiqueta mca Gnomos bb meses","Etikame",$0.39,0,0.00,0
437,"E184","Etiqueta carton Gnomos bb mese","Etikame",$0.40,0,0.00,0
438,"E185","Etiqueta marca CCPKDS003","Bordesti",$0.29,0,0.00,0
439,"E186","Etiqueta marca CCPBAS002","TPD",$0.18,0,0.00,0
440,"E187","Etiqueta carton BASDCCP012","AZVY",$0.32,0,0.00,0
441,"A29","Elastico 1 1/2"" negro","Boton class",$2.18,0,0.00,0
442,"E188","Etiqueta mca Baby Essentials","Tejidos Robin",$0.25,0,0.00,0
443,"E189","Etiqueta carton Baby Essential","Tejidos Robin",$0.30,0,0.00,0
