"SwitchboardID","ItemNumber","ItemText","Command","Argument","Nivel","NumeroMenu"
29,0,"Muestrarios Pendientes IP",0,,100,
29,1,"&1. Solicitar nuevos muestrarios a IP",2,"IP_MuesPend_Solicitud",100,
29,2,"&2. Revisar los muestrarios pendientes",3,"IP_MuesPend_Pend",100,
30,0,"INVENTARIO DE P.T.",0,,100,"4.1"
30,1,"&1. Alimentar el Inventario de PT...",1,"32",100,
30,2,"&2. Consultas del Inventario de PT...",1,"33",100,
30,3,"&3. Revision de Suma contra Existencias",3,"IPT_Revision",20,
31,0,"INVENTARIOS",0,,100,"4"
31,1,"&1. Inventario de Producto Terminado (PT)...",1,"30",100,
31,2,"&2. Inventario de Telas...",1,"11",100,
32,0,"Alimentar el Inventario de PT",0,,100,"4.1.1"
32,1,"&1. Alta de nuevos modelos",3,"IPT_AltaModelos",100,
32,2,"&2. Hacer Movimientos de entrada, salida y transpasos",3,"IPT_Mov",100,
32,3,"&3. Clasificar los modelos",3,"IPT_Modelos",47,
32,4,"&4. Alta de nuevos Almacenes",3,"IPT_AltaAlmacen",20,
33,0,"Consultas del Inventario de PT",0,,100,"4.1.2"
33,1,"&1. Consulta de existencias",3,"IPT_Exis",100,
33,2,"&2. Consulta de movimientos por modelo",3,"IPT_MovsSaldo",100,
33,3,"&3. Consulta de movimientos por folio",3,"IPT_MovsLista",100,
34,0,"Administracion de Maquileros",0,,100,"3.8"
34,1,"&1. Directorio de Maquileros",3,"Maquileros",100,
34,2,"&2. Estado de Cuenta de Maquileros",3,"EsMa_EdoCta",100,
34,3,"&3. Ver Saldos de Maquileros",3,"EsMa_SaldosMaq",100,
34,4,"&4. Ver Pagos Semanales",3,"EsMa_PagosSem",100,
34,5,"&5. Recibo de Maquilas Semanal",3,"RecibosSemanalesMaq",100,
35,0,"PROMODA",0,,100,"1.4"
35,1,"&1. Generar Codigos",3,"Prom_AltaCodigos",100,
35,2,"&2. Ver lista de codigos",3,"PROM_ListaCodigos",100,
35,3,"&3. Catalogos Promoda...",1,"36",20,
36,0,"Catalogos Promoda",0,,100,"1.4.2"
36,1,"&1. Tipos de Prenda",3,"Prom_Prendas",100,
36,2,"&2. Partidas",3,"Prom_Partidas",100,
